customer_id,tag_code,tag_name,tag_source,valid_from,valid_to,is_test_data
C00000006,REFERRER,推荐人,MODEL,2025-01-27,\N,1
C00000014,ACTIVE_USER,活跃客户,MODEL,2025-01-24,\N,1
C00000014,LOAN_RISK,风险客户,MODEL,2025-01-24,\N,1
C00000018,ACTIVE_USER,活跃客户,MODEL,2025-01-28,\N,1
C00000018,HIGH_QUALITY,优质客户,MODEL,2025-01-28,\N,1
C00000025,LOAN_RISK,风险客户,MODEL,2025-01-14,\N,1
C00000025,REFERRER,推荐人,MODEL,2025-01-14,\N,1
C00000028,ACTIVE_USER,活跃客户,MODEL,2025-05-03,\N,1
C00000028,REFERRER,推荐人,MODEL,2025-05-03,\N,1
C00000036,NEW_CUSTOMER,新客,MODEL,2025-01-28,\N,1
C00000036,REFERRER,推荐人,MODEL,2025-01-28,\N,1
C00000043,HIGH_QUALITY,优质客户,MODEL,2025-02-13,\N,1
C00000043,LOAN_RISK,风险客户,MODEL,2025-02-13,\N,1
C00000047,ACTIVE_USER,活跃客户,MODEL,2025-04-19,\N,1
C00000052,NEW_CUSTOMER,新客,MODEL,2025-04-24,\N,1
C00000052,LOAN_RISK,风险客户,MODEL,2025-04-24,\N,1
C00000059,REFERRER,推荐人,MODEL,2025-05-13,\N,1
C00000063,LOAN_RISK,风险客户,MODEL,2025-03-26,\N,1
C00000064,HIGH_QUALITY,优质客户,MODEL,2025-02-14,\N,1
C00000064,REFERRER,推荐人,MODEL,2025-02-14,\N,1
C00000066,HIGH_QUALITY,优质客户,MODEL,2025-05-25,\N,1
C00000066,LOAN_RISK,风险客户,MODEL,2025-05-25,\N,1
C00000071,HIGH_QUALITY,优质客户,MODEL,2025-05-01,\N,1
C00000071,NEW_CUSTOMER,新客,MODEL,2025-05-01,\N,1
C00000074,ACTIVE_USER,活跃客户,MODEL,2025-01-18,\N,1
C00000074,VIP,VIP 客户,MODEL,2025-01-18,\N,1
C00000076,NEW_CUSTOMER,新客,MODEL,2025-01-12,\N,1
C00000077,NEW_CUSTOMER,新客,MODEL,2025-03-30,\N,1
C00000077,LOAN_RISK,风险客户,MODEL,2025-03-30,\N,1
C00000081,HIGH_QUALITY,优质客户,MODEL,2025-01-25,\N,1
C00000086,REFERRER,推荐人,MODEL,2025-03-26,\N,1
C00000088,LOAN_RISK,风险客户,MODEL,2025-05-09,\N,1
C00000088,REFERRER,推荐人,MODEL,2025-05-09,\N,1
C00000092,REFERRER,推荐人,MODEL,2025-01-22,\N,1
C00000093,LOAN_RISK,风险客户,MODEL,2025-03-30,\N,1
C00000097,ACTIVE_USER,活跃客户,MODEL,2025-05-22,\N,1
C00000097,LOAN_RISK,风险客户,MODEL,2025-05-22,\N,1
C00000100,ACTIVE_USER,活跃客户,MODEL,2025-02-08,\N,1
C00000100,HIGH_QUALITY,优质客户,MODEL,2025-02-08,\N,1
C00000101,ACTIVE_USER,活跃客户,MODEL,2025-01-12,\N,1
C00000104,HIGH_QUALITY,优质客户,MODEL,2025-03-17,\N,1
C00000104,LOAN_RISK,风险客户,MODEL,2025-03-17,\N,1
C00000112,LOAN_RISK,风险客户,MODEL,2025-05-21,\N,1
C00000112,ACTIVE_USER,活跃客户,MODEL,2025-05-21,\N,1
C00000114,NEW_CUSTOMER,新客,MODEL,2025-04-17,\N,1
C00000115,ACTIVE_USER,活跃客户,MODEL,2025-06-05,\N,1
C00000115,HIGH_QUALITY,优质客户,MODEL,2025-06-05,\N,1
C00000116,ACTIVE_USER,活跃客户,MODEL,2025-02-13,\N,1
C00000116,NEW_CUSTOMER,新客,MODEL,2025-02-13,\N,1
C00000118,LOAN_RISK,风险客户,MODEL,2025-01-17,\N,1
C00000120,REFERRER,推荐人,MODEL,2025-01-31,\N,1
C00000120,LOAN_RISK,风险客户,MODEL,2025-01-31,\N,1
C00000123,LOAN_RISK,风险客户,MODEL,2025-01-30,\N,1
C00000123,ACTIVE_USER,活跃客户,MODEL,2025-01-30,\N,1
C00000136,ACTIVE_USER,活跃客户,MODEL,2025-01-29,\N,1
C00000136,HIGH_QUALITY,优质客户,MODEL,2025-01-29,\N,1
C00000139,ACTIVE_USER,活跃客户,MODEL,2025-01-23,\N,1
C00000140,HIGH_QUALITY,优质客户,MODEL,2025-01-09,\N,1
C00000141,ACTIVE_USER,活跃客户,MODEL,2025-05-16,\N,1
C00000144,ACTIVE_USER,活跃客户,MODEL,2025-02-14,\N,1
C00000144,VIP,VIP 客户,MODEL,2025-02-14,\N,1
C00000155,LOAN_RISK,风险客户,MODEL,2025-04-03,\N,1
C00000156,ACTIVE_USER,活跃客户,MODEL,2025-01-26,\N,1
C00000156,VIP,VIP 客户,MODEL,2025-01-26,\N,1
C00000160,LOAN_RISK,风险客户,MODEL,2025-02-02,\N,1
C00000163,VIP,VIP 客户,MODEL,2025-04-10,\N,1
C00000173,REFERRER,推荐人,MODEL,2025-01-18,\N,1
C00000173,VIP,VIP 客户,MODEL,2025-01-18,\N,1
C00000174,VIP,VIP 客户,MODEL,2025-02-20,\N,1
C00000176,HIGH_QUALITY,优质客户,MODEL,2025-02-16,\N,1
C00000176,VIP,VIP 客户,MODEL,2025-02-16,\N,1
C00000180,REFERRER,推荐人,MODEL,2025-01-10,\N,1
C00000183,HIGH_QUALITY,优质客户,MODEL,2025-04-06,\N,1
C00000183,REFERRER,推荐人,MODEL,2025-04-06,\N,1
C00000184,VIP,VIP 客户,MODEL,2025-02-02,\N,1
C00000187,HIGH_QUALITY,优质客户,MODEL,2025-04-18,\N,1
C00000187,NEW_CUSTOMER,新客,MODEL,2025-04-18,\N,1
C00000190,REFERRER,推荐人,MODEL,2025-01-30,\N,1
C00000191,LOAN_RISK,风险客户,MODEL,2025-02-14,\N,1
C00000191,REFERRER,推荐人,MODEL,2025-02-14,\N,1
C00000194,NEW_CUSTOMER,新客,MODEL,2025-06-08,\N,1
C00000195,NEW_CUSTOMER,新客,MODEL,2025-01-05,\N,1
C00000195,VIP,VIP 客户,MODEL,2025-01-05,\N,1
C00000196,LOAN_RISK,风险客户,MODEL,2025-01-19,\N,1
C00000196,HIGH_QUALITY,优质客户,MODEL,2025-01-19,\N,1
C00000199,ACTIVE_USER,活跃客户,MODEL,2025-03-31,\N,1
C00000199,NEW_CUSTOMER,新客,MODEL,2025-03-31,\N,1
C00000201,REFERRER,推荐人,MODEL,2025-05-01,\N,1
C00000201,NEW_CUSTOMER,新客,MODEL,2025-05-01,\N,1
C00000203,VIP,VIP 客户,MODEL,2025-05-05,\N,1
C00000203,LOAN_RISK,风险客户,MODEL,2025-05-05,\N,1
C00000206,HIGH_QUALITY,优质客户,MODEL,2025-01-12,\N,1
C00000206,NEW_CUSTOMER,新客,MODEL,2025-01-12,\N,1
C00000207,ACTIVE_USER,活跃客户,MODEL,2025-01-05,\N,1
C00000208,NEW_CUSTOMER,新客,MODEL,2025-02-07,\N,1
C00000208,VIP,VIP 客户,MODEL,2025-02-07,\N,1
C00000212,VIP,VIP 客户,MODEL,2025-04-08,\N,1
C00000212,REFERRER,推荐人,MODEL,2025-04-08,\N,1
C00000214,HIGH_QUALITY,优质客户,MODEL,2025-02-18,\N,1
C00000214,NEW_CUSTOMER,新客,MODEL,2025-02-18,\N,1
C00000217,REFERRER,推荐人,MODEL,2025-01-22,\N,1
C00000217,VIP,VIP 客户,MODEL,2025-01-22,\N,1
C00000218,VIP,VIP 客户,MODEL,2025-05-11,\N,1
C00000218,REFERRER,推荐人,MODEL,2025-05-11,\N,1
C00000221,VIP,VIP 客户,MODEL,2025-02-06,\N,1
C00000231,NEW_CUSTOMER,新客,MODEL,2025-04-01,\N,1
C00000231,ACTIVE_USER,活跃客户,MODEL,2025-04-01,\N,1
C00000237,VIP,VIP 客户,MODEL,2025-01-20,\N,1
C00000237,REFERRER,推荐人,MODEL,2025-01-20,\N,1
C00000239,ACTIVE_USER,活跃客户,MODEL,2025-03-17,\N,1
C00000241,REFERRER,推荐人,MODEL,2025-01-14,\N,1
C00000246,ACTIVE_USER,活跃客户,MODEL,2025-06-08,\N,1
C00000246,NEW_CUSTOMER,新客,MODEL,2025-06-08,\N,1
C00000247,HIGH_QUALITY,优质客户,MODEL,2025-04-23,\N,1
C00000247,REFERRER,推荐人,MODEL,2025-04-23,\N,1
C00000251,VIP,VIP 客户,MODEL,2025-02-11,\N,1
C00000261,VIP,VIP 客户,MODEL,2025-01-12,\N,1
C00000261,ACTIVE_USER,活跃客户,MODEL,2025-01-12,\N,1
C00000265,ACTIVE_USER,活跃客户,MODEL,2025-05-14,\N,1
C00000265,VIP,VIP 客户,MODEL,2025-05-14,\N,1
C00000275,HIGH_QUALITY,优质客户,MODEL,2025-02-09,\N,1
C00000275,NEW_CUSTOMER,新客,MODEL,2025-02-09,\N,1
C00000277,VIP,VIP 客户,MODEL,2025-02-19,\N,1
C00000278,REFERRER,推荐人,MODEL,2025-01-20,\N,1
C00000279,VIP,VIP 客户,MODEL,2025-02-05,\N,1
C00000281,LOAN_RISK,风险客户,MODEL,2025-01-31,\N,1
C00000285,LOAN_RISK,风险客户,MODEL,2025-02-05,\N,1
C00000285,HIGH_QUALITY,优质客户,MODEL,2025-02-05,\N,1
C00000288,VIP,VIP 客户,MODEL,2025-02-08,\N,1
C00000288,REFERRER,推荐人,MODEL,2025-02-08,\N,1
C00000292,REFERRER,推荐人,MODEL,2025-02-27,\N,1
C00000293,VIP,VIP 客户,MODEL,2025-04-27,\N,1
C00000294,VIP,VIP 客户,MODEL,2025-01-23,\N,1
C00000294,REFERRER,推荐人,MODEL,2025-01-23,\N,1
C00000305,REFERRER,推荐人,MODEL,2025-06-05,\N,1
C00000305,HIGH_QUALITY,优质客户,MODEL,2025-06-05,\N,1
C00000310,NEW_CUSTOMER,新客,MODEL,2025-04-18,\N,1
C00000310,HIGH_QUALITY,优质客户,MODEL,2025-04-18,\N,1
C00000312,LOAN_RISK,风险客户,MODEL,2025-03-24,\N,1
C00000312,HIGH_QUALITY,优质客户,MODEL,2025-03-24,\N,1
C00000332,REFERRER,推荐人,MODEL,2025-02-07,\N,1
C00000337,LOAN_RISK,风险客户,MODEL,2025-04-15,\N,1
C00000337,HIGH_QUALITY,优质客户,MODEL,2025-04-15,\N,1
C00000338,LOAN_RISK,风险客户,MODEL,2025-04-02,\N,1
C00000338,ACTIVE_USER,活跃客户,MODEL,2025-04-02,\N,1
C00000341,HIGH_QUALITY,优质客户,MODEL,2025-04-13,\N,1
C00000341,NEW_CUSTOMER,新客,MODEL,2025-04-13,\N,1
C00000346,VIP,VIP 客户,MODEL,2025-03-17,\N,1
C00000346,HIGH_QUALITY,优质客户,MODEL,2025-03-17,\N,1
C00000353,NEW_CUSTOMER,新客,MODEL,2025-01-30,\N,1
C00000355,LOAN_RISK,风险客户,MODEL,2025-02-09,\N,1
C00000362,NEW_CUSTOMER,新客,MODEL,2025-02-10,\N,1
C00000362,HIGH_QUALITY,优质客户,MODEL,2025-02-10,\N,1
C00000363,VIP,VIP 客户,MODEL,2025-02-14,\N,1
C00000367,ACTIVE_USER,活跃客户,MODEL,2025-03-07,\N,1
C00000367,VIP,VIP 客户,MODEL,2025-03-07,\N,1
C00000368,VIP,VIP 客户,MODEL,2025-01-17,\N,1
C00000383,REFERRER,推荐人,MODEL,2025-01-01,\N,1
C00000383,LOAN_RISK,风险客户,MODEL,2025-01-01,\N,1
C00000385,REFERRER,推荐人,MODEL,2025-01-19,\N,1
C00000386,LOAN_RISK,风险客户,MODEL,2025-04-17,\N,1
C00000390,LOAN_RISK,风险客户,MODEL,2025-04-13,\N,1
C00000390,REFERRER,推荐人,MODEL,2025-04-13,\N,1
C00000393,LOAN_RISK,风险客户,MODEL,2025-04-26,\N,1
C00000394,VIP,VIP 客户,MODEL,2025-04-28,\N,1
C00000394,NEW_CUSTOMER,新客,MODEL,2025-04-28,\N,1
C00000396,REFERRER,推荐人,MODEL,2025-01-26,\N,1
C00000396,NEW_CUSTOMER,新客,MODEL,2025-01-26,\N,1
C00000399,NEW_CUSTOMER,新客,MODEL,2025-01-13,\N,1
C00000403,NEW_CUSTOMER,新客,MODEL,2025-04-04,\N,1
C00000403,VIP,VIP 客户,MODEL,2025-04-04,\N,1
C00000411,HIGH_QUALITY,优质客户,MODEL,2025-02-14,\N,1
C00000411,NEW_CUSTOMER,新客,MODEL,2025-02-14,\N,1
C00000412,LOAN_RISK,风险客户,MODEL,2025-05-09,\N,1
C00000414,VIP,VIP 客户,MODEL,2025-03-15,\N,1
C00000418,NEW_CUSTOMER,新客,MODEL,2025-05-06,\N,1
C00000418,HIGH_QUALITY,优质客户,MODEL,2025-05-06,\N,1
C00000421,VIP,VIP 客户,MODEL,2025-06-09,\N,1
C00000422,ACTIVE_USER,活跃客户,MODEL,2025-02-25,\N,1
C00000423,NEW_CUSTOMER,新客,MODEL,2025-01-28,\N,1
C00000423,REFERRER,推荐人,MODEL,2025-01-28,\N,1
C00000424,NEW_CUSTOMER,新客,MODEL,2025-02-10,\N,1
C00000424,LOAN_RISK,风险客户,MODEL,2025-02-10,\N,1
C00000426,NEW_CUSTOMER,新客,MODEL,2025-04-10,\N,1
C00000433,ACTIVE_USER,活跃客户,MODEL,2025-05-27,\N,1
C00000439,LOAN_RISK,风险客户,MODEL,2025-02-09,\N,1
C00000442,VIP,VIP 客户,MODEL,2025-02-14,\N,1
C00000444,NEW_CUSTOMER,新客,MODEL,2025-02-24,\N,1
