application_id,customer_id,product_code,apply_amount,apply_term,channel_code,campaign_id,apply_purpose,status,reject_code,apply_time,decision_time,is_test_data
AP20250614000001,C00000304,SELF_LOAN,5000.00,12,WECHAT_MP,\N,教育,REJECTED,R006,2025-06-14 20:58:35,2025-06-14 21:10:03,1
AP20250223000001,C00006878,SELF_LOAN,5000.00,6,APP_ORG,\N,其他,REJECTED,R006,2025-02-23 13:50:51,2025-02-23 14:02:06,1
AP20250523000001,C00008383,JOINT_LOAN,2000.00,6,APP_ORG,\N,旅游,APPROVED,\N,2025-05-23 12:35:11,2025-05-23 12:38:08,1
AP20250508000001,C00008033,JOINT_LOAN,1000.00,24,TENCENT_AD,\N,消费,APPROVED,\N,2025-05-08 15:06:42,2025-05-08 15:15:37,1
AP20250326000001,C00008037,PLATFORM_LOAN,30000.00,36,WECHAT_MP,CAMP0011,医疗,REJECTED,R009,2025-03-26 06:28:10,2025-03-26 06:34:11,1
AP20250330000001,C00008608,PLATFORM_LOAN,80000.00,36,BAIDU_SEM,CAMP0015,婚庆,REJECTED,R006,2025-03-30 20:11:03,2025-03-30 20:20:48,1
AP20250506000001,C00009413,SELF_LOAN,80000.00,3,KUAISHOU_AD,CAMP0014,旅游,APPROVED,\N,2025-05-06 16:22:57,2025-05-06 16:33:11,1
AP20250131000001,C00007379,SELF_LOAN,2000.00,24,BAIDU_SEM,\N,旅游,APPROVED,\N,2025-01-31 19:49:11,2025-01-31 19:53:42,1
AP20250429000001,C00001346,PLATFORM_LOAN,100000.00,12,BAIDU_SEM,CAMP0012,其他,APPROVED,\N,2025-04-29 21:22:58,2025-04-29 21:29:12,1
AP20250507000001,C00006202,JOINT_LOAN,50000.00,6,KUAISHOU_AD,CAMP0035,教育,REJECTED,R006,2025-05-07 13:09:53,2025-05-07 13:16:55,1
AP20250618000001,C00004530,JOINT_LOAN,30000.00,36,APP_ORG,\N,婚庆,APPROVED,\N,2025-06-18 21:11:53,2025-06-18 21:20:15,1
AP20250128000001,C00000991,JOINT_LOAN,10000.00,12,BYTEDANCE_AD,\N,消费,REJECTED,R009,2025-01-28 13:10:49,2025-01-28 13:15:50,1
AP20250302000001,C00002774,JOINT_LOAN,100000.00,36,WECHAT_MP,CAMP0015,教育,REJECTED,R008,2025-03-02 20:32:38,2025-03-02 20:47:11,1
AP20250202000001,C00006917,PLATFORM_LOAN,15000.00,36,KUAISHOU_AD,\N,婚庆,REJECTED,R006,2025-02-02 12:18:24,2025-02-02 12:29:45,1
AP20250208000001,C00004906,JOINT_LOAN,2000.00,24,TENCENT_AD,\N,消费,APPROVED,\N,2025-02-08 22:22:04,2025-02-08 22:24:45,1
AP20250127000001,C00008598,JOINT_LOAN,5000.00,36,BAIDU_SEM,\N,医疗,APPROVED,\N,2025-01-27 11:41:23,2025-01-27 11:48:27,1
AP20250202000002,C00001867,PLATFORM_LOAN,1000.00,36,APP_ORG,\N,旅游,APPROVED,\N,2025-02-02 07:23:33,2025-02-02 07:29:11,1
AP20250602000001,C00003613,PLATFORM_LOAN,30000.00,12,REFERRAL,\N,旅游,REJECTED,R009,2025-06-02 13:41:06,2025-06-02 13:45:38,1
AP20250201000001,C00001568,PLATFORM_LOAN,100000.00,12,REFERRAL,CAMP0034,婚庆,APPROVED,\N,2025-02-01 01:16:43,2025-02-01 01:23:18,1
AP20250614000002,C00005806,PLATFORM_LOAN,2000.00,36,TENCENT_AD,\N,装修,APPROVED,\N,2025-06-14 12:11:27,2025-06-14 12:25:25,1
AP20250521000001,C00001414,SELF_LOAN,10000.00,24,REFERRAL,\N,医疗,APPROVED,\N,2025-05-21 19:14:07,2025-05-21 19:27:31,1
AP20250609000001,C00009393,PLATFORM_LOAN,8000.00,3,TENCENT_AD,\N,婚庆,REJECTED,R004,2025-06-09 21:02:35,2025-06-09 21:12:19,1
AP20250210000001,C00002984,JOINT_LOAN,2000.00,6,BYTEDANCE_AD,CAMP0010,旅游,APPROVED,\N,2025-02-10 22:12:38,2025-02-10 22:20:11,1
AP20250127000002,C00004974,JOINT_LOAN,8000.00,24,H5_PROMO,\N,旅游,REJECTED,R008,2025-01-27 22:27:58,2025-01-27 22:37:00,1
AP20250123000001,C00006269,JOINT_LOAN,2000.00,24,BAIDU_SEM,CAMP0009,教育,REJECTED,R008,2025-01-23 20:52:36,2025-01-23 20:59:39,1
AP20250421000001,C00008922,SELF_LOAN,100000.00,18,REFERRAL,\N,购车,APPROVED,\N,2025-04-21 10:44:15,2025-04-21 10:48:38,1
AP20250401000001,C00002523,GUARANTEE_LOAN,1000.00,3,TENCENT_AD,\N,其他,APPROVED,\N,2025-04-01 13:31:11,2025-04-01 13:44:51,1
AP20250303000001,C00002935,PLATFORM_LOAN,100000.00,3,REFERRAL,\N,医疗,REJECTED,R006,2025-03-03 12:20:43,2025-03-03 12:35:01,1
AP20250602000002,C00003713,SELF_LOAN,10000.00,6,PARTNER_BANK1,\N,旅游,APPROVED,\N,2025-06-02 22:53:14,2025-06-02 23:04:53,1
AP20250130000001,C00000504,SELF_LOAN,50000.00,12,BYTEDANCE_AD,\N,医疗,APPROVED,\N,2025-01-30 22:24:44,2025-01-30 22:31:05,1
AP20250201000002,C00003118,SELF_LOAN,5000.00,6,BAIDU_SEM,CAMP0030,其他,APPROVED,\N,2025-02-01 19:34:40,2025-02-01 19:42:12,1
AP20250215000001,C00003976,SELF_LOAN,5000.00,12,BAIDU_SEM,CAMP0039,其他,APPROVED,\N,2025-02-15 22:02:33,2025-02-15 22:07:48,1
AP20250303000002,C00005521,PLATFORM_LOAN,15000.00,12,PARTNER_MALL,\N,购车,REJECTED,R006,2025-03-03 22:04:27,2025-03-03 22:18:57,1
AP20250223000002,C00001790,SELF_LOAN,20000.00,36,TENCENT_AD,\N,其他,REJECTED,R009,2025-02-23 20:30:04,2025-02-23 20:43:26,1
AP20250401000002,C00004970,GUARANTEE_LOAN,15000.00,24,APP_ORG,\N,医疗,APPROVED,\N,2025-04-01 23:20:45,2025-04-01 23:28:42,1
AP20250216000001,C00008409,PLATFORM_LOAN,100000.00,36,H5_PROMO,CAMP0003,购车,APPROVED,\N,2025-02-16 16:18:35,2025-02-16 16:28:30,1
AP20250331000001,C00006382,PLATFORM_LOAN,30000.00,36,REFERRAL,CAMP0024,装修,REJECTED,R008,2025-03-31 22:24:24,2025-03-31 22:31:27,1
AP20250522000001,C00003075,SELF_LOAN,8000.00,12,WECHAT_MP,\N,旅游,APPROVED,\N,2025-05-22 10:59:52,2025-05-22 11:13:17,1
AP20250626000001,C00001606,SELF_LOAN,100000.00,24,TENCENT_AD,\N,医疗,APPROVED,\N,2025-06-26 18:05:23,2025-06-26 18:11:50,1
AP20250202000003,C00005270,JOINT_LOAN,100000.00,12,BAIDU_SEM,\N,教育,REJECTED,R006,2025-02-02 21:06:33,2025-02-02 21:16:20,1
AP20250308000001,C00003108,SELF_LOAN,2000.00,36,BYTEDANCE_AD,CAMP0002,购车,APPROVED,\N,2025-03-08 20:15:15,2025-03-08 20:27:50,1
AP20250609000002,C00000590,PLATFORM_LOAN,20000.00,24,H5_PROMO,\N,婚庆,REJECTED,R006,2025-06-09 19:07:55,2025-06-09 19:11:30,1
AP20250527000001,C00001135,JOINT_LOAN,80000.00,36,REFERRAL,\N,购车,APPROVED,\N,2025-05-27 20:41:58,2025-05-27 20:48:19,1
AP20250224000001,C00005471,PLATFORM_LOAN,80000.00,12,BAIDU_SEM,CAMP0016,消费,APPROVED,\N,2025-02-24 09:56:07,2025-02-24 10:11:26,1
AP20250319000001,C00008078,JOINT_LOAN,50000.00,36,BYTEDANCE_AD,\N,旅游,APPROVED,\N,2025-03-19 22:13:51,2025-03-19 22:20:26,1
AP20250525000001,C00005848,SELF_LOAN,10000.00,12,PARTNER_BANK1,\N,其他,REJECTED,R006,2025-05-25 12:38:48,2025-05-25 12:43:31,1
AP20250616000001,C00002963,PLATFORM_LOAN,1000.00,36,H5_PROMO,\N,装修,REJECTED,R006,2025-06-16 20:42:07,2025-06-16 20:45:16,1
AP20250607000001,C00007844,SELF_LOAN,15000.00,12,BAIDU_SEM,\N,旅游,APPROVED,\N,2025-06-07 13:44:49,2025-06-07 13:53:41,1
AP20250321000001,C00006375,SELF_LOAN,15000.00,3,REFERRAL,CAMP0011,教育,APPROVED,\N,2025-03-21 11:24:20,2025-03-21 11:30:47,1
