application_id,from_status,to_status,remark,changed_at,changed_by,is_test_data
AP20250614000001,\N,INIT,创建申请,2025-06-14 20:58:35,SYSTEM,1
AP20250614000001,INIT,PENDING,进入审核,2025-06-14 20:59:35,SYSTEM,1
AP20250614000001,PENDING,REJECTED,REJECT,2025-06-14 21:10:03,SYSTEM,1
AP20250223000001,\N,INIT,创建申请,2025-02-23 13:50:51,SYSTEM,1
AP20250223000001,INIT,PENDING,进入审核,2025-02-23 13:51:51,SYSTEM,1
AP20250223000001,PENDING,REJECTED,REJECT,2025-02-23 14:02:06,SYSTEM,1
AP20250523000001,\N,INIT,创建申请,2025-05-23 12:35:11,SYSTEM,1
AP20250523000001,INIT,PENDING,进入审核,2025-05-23 12:36:11,SYSTEM,1
AP20250523000001,PENDING,APPROVED,APPROVE,2025-05-23 12:38:08,SYSTEM,1
AP20250508000001,\N,INIT,创建申请,2025-05-08 15:06:42,SYSTEM,1
AP20250508000001,INIT,PENDING,进入审核,2025-05-08 15:07:42,SYSTEM,1
AP20250508000001,PENDING,APPROVED,APPROVE,2025-05-08 15:15:37,SYSTEM,1
AP20250326000001,\N,INIT,创建申请,2025-03-26 06:28:10,SYSTEM,1
AP20250326000001,INIT,PENDING,进入审核,2025-03-26 06:29:10,SYSTEM,1
AP20250326000001,PENDING,REJECTED,REJECT,2025-03-26 06:34:11,SYSTEM,1
AP20250330000001,\N,INIT,创建申请,2025-03-30 20:11:03,SYSTEM,1
AP20250330000001,INIT,PENDING,进入审核,2025-03-30 20:12:03,SYSTEM,1
AP20250330000001,PENDING,REJECTED,REJECT,2025-03-30 20:20:48,SYSTEM,1
AP20250506000001,\N,INIT,创建申请,2025-05-06 16:22:57,SYSTEM,1
AP20250506000001,INIT,PENDING,进入审核,2025-05-06 16:23:57,SYSTEM,1
AP20250506000001,PENDING,APPROVED,APPROVE,2025-05-06 16:33:11,SYSTEM,1
AP20250131000001,\N,INIT,创建申请,2025-01-31 19:49:11,SYSTEM,1
AP20250131000001,INIT,PENDING,进入审核,2025-01-31 19:50:11,SYSTEM,1
AP20250131000001,PENDING,APPROVED,APPROVE,2025-01-31 19:53:42,SYSTEM,1
AP20250429000001,\N,INIT,创建申请,2025-04-29 21:22:58,SYSTEM,1
AP20250429000001,INIT,PENDING,进入审核,2025-04-29 21:23:58,SYSTEM,1
AP20250429000001,PENDING,APPROVED,APPROVE,2025-04-29 21:29:12,SYSTEM,1
AP20250507000001,\N,INIT,创建申请,2025-05-07 13:09:53,SYSTEM,1
AP20250507000001,INIT,PENDING,进入审核,2025-05-07 13:10:53,SYSTEM,1
AP20250507000001,PENDING,REJECTED,REJECT,2025-05-07 13:16:55,SYSTEM,1
AP20250618000001,\N,INIT,创建申请,2025-06-18 21:11:53,SYSTEM,1
AP20250618000001,INIT,PENDING,进入审核,2025-06-18 21:12:53,SYSTEM,1
AP20250618000001,PENDING,APPROVED,APPROVE,2025-06-18 21:20:15,SYSTEM,1
AP20250128000001,\N,INIT,创建申请,2025-01-28 13:10:49,SYSTEM,1
AP20250128000001,INIT,PENDING,进入审核,2025-01-28 13:11:49,SYSTEM,1
AP20250128000001,PENDING,REJECTED,REJECT,2025-01-28 13:15:50,SYSTEM,1
AP20250302000001,\N,INIT,创建申请,2025-03-02 20:32:38,SYSTEM,1
AP20250302000001,INIT,PENDING,进入审核,2025-03-02 20:33:38,SYSTEM,1
AP20250302000001,PENDING,REJECTED,REJECT,2025-03-02 20:47:11,SYSTEM,1
AP20250202000001,\N,INIT,创建申请,2025-02-02 12:18:24,SYSTEM,1
AP20250202000001,INIT,PENDING,进入审核,2025-02-02 12:19:24,SYSTEM,1
AP20250202000001,PENDING,REJECTED,REJECT,2025-02-02 12:29:45,SYSTEM,1
AP20250208000001,\N,INIT,创建申请,2025-02-08 22:22:04,SYSTEM,1
AP20250208000001,INIT,PENDING,进入审核,2025-02-08 22:23:04,SYSTEM,1
AP20250208000001,PENDING,APPROVED,APPROVE,2025-02-08 22:24:45,SYSTEM,1
AP20250127000001,\N,INIT,创建申请,2025-01-27 11:41:23,SYSTEM,1
AP20250127000001,INIT,PENDING,进入审核,2025-01-27 11:42:23,SYSTEM,1
AP20250127000001,PENDING,APPROVED,APPROVE,2025-01-27 11:48:27,SYSTEM,1
AP20250202000002,\N,INIT,创建申请,2025-02-02 07:23:33,SYSTEM,1
AP20250202000002,INIT,PENDING,进入审核,2025-02-02 07:24:33,SYSTEM,1
AP20250202000002,PENDING,APPROVED,APPROVE,2025-02-02 07:29:11,SYSTEM,1
AP20250602000001,\N,INIT,创建申请,2025-06-02 13:41:06,SYSTEM,1
AP20250602000001,INIT,PENDING,进入审核,2025-06-02 13:42:06,SYSTEM,1
AP20250602000001,PENDING,REJECTED,REJECT,2025-06-02 13:45:38,SYSTEM,1
AP20250201000001,\N,INIT,创建申请,2025-02-01 01:16:43,SYSTEM,1
AP20250201000001,INIT,PENDING,进入审核,2025-02-01 01:17:43,SYSTEM,1
AP20250201000001,PENDING,APPROVED,APPROVE,2025-02-01 01:23:18,SYSTEM,1
AP20250614000002,\N,INIT,创建申请,2025-06-14 12:11:27,SYSTEM,1
AP20250614000002,INIT,PENDING,进入审核,2025-06-14 12:12:27,SYSTEM,1
AP20250614000002,PENDING,APPROVED,APPROVE,2025-06-14 12:25:25,SYSTEM,1
AP20250521000001,\N,INIT,创建申请,2025-05-21 19:14:07,SYSTEM,1
AP20250521000001,INIT,PENDING,进入审核,2025-05-21 19:15:07,SYSTEM,1
AP20250521000001,PENDING,APPROVED,APPROVE,2025-05-21 19:27:31,SYSTEM,1
AP20250609000001,\N,INIT,创建申请,2025-06-09 21:02:35,SYSTEM,1
AP20250609000001,INIT,PENDING,进入审核,2025-06-09 21:03:35,SYSTEM,1
AP20250609000001,PENDING,REJECTED,REJECT,2025-06-09 21:12:19,SYSTEM,1
AP20250210000001,\N,INIT,创建申请,2025-02-10 22:12:38,SYSTEM,1
AP20250210000001,INIT,PENDING,进入审核,2025-02-10 22:13:38,SYSTEM,1
AP20250210000001,PENDING,APPROVED,APPROVE,2025-02-10 22:20:11,SYSTEM,1
AP20250127000002,\N,INIT,创建申请,2025-01-27 22:27:58,SYSTEM,1
AP20250127000002,INIT,PENDING,进入审核,2025-01-27 22:28:58,SYSTEM,1
AP20250127000002,PENDING,REJECTED,REJECT,2025-01-27 22:37:00,SYSTEM,1
AP20250123000001,\N,INIT,创建申请,2025-01-23 20:52:36,SYSTEM,1
AP20250123000001,INIT,PENDING,进入审核,2025-01-23 20:53:36,SYSTEM,1
AP20250123000001,PENDING,REJECTED,REJECT,2025-01-23 20:59:39,SYSTEM,1
AP20250421000001,\N,INIT,创建申请,2025-04-21 10:44:15,SYSTEM,1
AP20250421000001,INIT,PENDING,进入审核,2025-04-21 10:45:15,SYSTEM,1
AP20250421000001,PENDING,APPROVED,APPROVE,2025-04-21 10:48:38,SYSTEM,1
AP20250401000001,\N,INIT,创建申请,2025-04-01 13:31:11,SYSTEM,1
AP20250401000001,INIT,PENDING,进入审核,2025-04-01 13:32:11,SYSTEM,1
AP20250401000001,PENDING,APPROVED,APPROVE,2025-04-01 13:44:51,SYSTEM,1
AP20250303000001,\N,INIT,创建申请,2025-03-03 12:20:43,SYSTEM,1
AP20250303000001,INIT,PENDING,进入审核,2025-03-03 12:21:43,SYSTEM,1
AP20250303000001,PENDING,REJECTED,REJECT,2025-03-03 12:35:01,SYSTEM,1
AP20250602000002,\N,INIT,创建申请,2025-06-02 22:53:14,SYSTEM,1
