application_id,customer_id,bureau,pull_time,score,overdue_count,query_count_1m,is_test_data
AP20250614000001,C00000304,TONGDUN,2025-06-14 21:07:35,667,3,1,1
AP20250223000001,C00006878,TONGDUN,2025-02-23 13:57:51,657,0,6,1
AP20250523000001,C00008383,TONGDUN,2025-05-23 12:36:11,681,0,5,1
AP20250508000001,C00008033,TONGDUN,2025-05-08 15:14:42,653,2,5,1
AP20250326000001,C00008037,PBOC,2025-03-26 06:30:10,723,1,0,1
AP20250330000001,C00008608,BAIRONG,2025-03-30 20:17:03,536,2,6,1
AP20250506000001,C00009413,PBOC,2025-05-06 16:30:57,766,0,1,1
AP20250131000001,C00007379,BAIRONG,2025-01-31 19:52:11,620,1,2,1
AP20250429000001,C00001346,TONGDUN,2025-04-29 21:26:58,634,2,2,1
AP20250507000001,C00006202,BAIRONG,2025-05-07 13:14:53,572,0,5,1
AP20250618000001,C00004530,BAIRONG,2025-06-18 21:15:53,573,1,8,1
AP20250128000001,C00000991,TONGDUN,2025-01-28 13:12:49,728,2,5,1
AP20250302000001,C00002774,BAIRONG,2025-03-02 20:42:38,493,1,7,1
AP20250202000001,C00006917,PBOC,2025-02-02 12:26:24,642,3,2,1
AP20250208000001,C00004906,TONGDUN,2025-02-08 22:23:04,654,0,1,1
AP20250127000001,C00008598,BAIRONG,2025-01-27 11:43:23,595,0,7,1
AP20250202000002,C00001867,PBOC,2025-02-02 07:26:33,595,1,8,1
AP20250602000001,C00003613,TONGDUN,2025-06-02 13:43:06,593,3,8,1
AP20250201000001,C00001568,TONGDUN,2025-02-01 01:19:43,648,3,0,1
AP20250614000002,C00005806,PBOC,2025-06-14 12:21:27,672,2,5,1
AP20250521000001,C00001414,BAIRONG,2025-05-21 19:22:07,782,2,6,1
AP20250609000001,C00009393,TONGDUN,2025-06-09 21:08:35,770,1,8,1
AP20250210000001,C00002984,TONGDUN,2025-02-10 22:18:38,691,3,1,1
AP20250127000002,C00004974,TONGDUN,2025-01-27 22:32:58,634,1,1,1
AP20250123000001,C00006269,BAIRONG,2025-01-23 20:54:36,681,2,2,1
AP20250421000001,C00008922,TONGDUN,2025-04-21 10:46:15,624,0,2,1
AP20250401000001,C00002523,PBOC,2025-04-01 13:41:11,618,1,3,1
AP20250303000001,C00002935,PBOC,2025-03-03 12:29:43,708,1,8,1
AP20250602000002,C00003713,PBOC,2025-06-02 23:00:14,475,3,8,1
AP20250130000001,C00000504,PBOC,2025-01-30 22:27:44,589,2,5,1
AP20250201000002,C00003118,TONGDUN,2025-02-01 19:38:40,650,0,7,1
AP20250215000001,C00003976,PBOC,2025-02-15 22:06:33,621,3,2,1
AP20250303000002,C00005521,TONGDUN,2025-03-03 22:14:27,782,1,7,1
AP20250223000002,C00001790,PBOC,2025-02-23 20:40:04,612,3,3,1
AP20250401000002,C00004970,PBOC,2025-04-01 23:23:45,735,3,3,1
AP20250216000001,C00008409,TONGDUN,2025-02-16 16:26:35,670,1,1,1
AP20250331000001,C00006382,TONGDUN,2025-03-31 22:27:24,729,2,3,1
AP20250522000001,C00003075,PBOC,2025-05-22 11:08:52,538,3,6,1
AP20250626000001,C00001606,PBOC,2025-06-26 18:08:23,595,2,5,1
AP20250202000003,C00005270,BAIRONG,2025-02-02 21:13:33,721,0,0,1
AP20250308000001,C00003108,PBOC,2025-03-08 20:25:15,645,1,0,1
AP20250609000002,C00000590,BAIRONG,2025-06-09 19:08:55,659,1,4,1
AP20250527000001,C00001135,TONGDUN,2025-05-27 20:43:58,544,3,4,1
AP20250224000001,C00005471,PBOC,2025-02-24 10:06:07,622,3,6,1
AP20250319000001,C00008078,BAIRONG,2025-03-19 22:14:51,693,1,1,1
AP20250525000001,C00005848,PBOC,2025-05-25 12:39:48,668,3,0,1
AP20250616000001,C00002963,BAIRONG,2025-06-16 20:44:07,548,0,7,1
AP20250607000001,C00007844,PBOC,2025-06-07 13:50:49,648,3,8,1
AP20250321000001,C00006375,PBOC,2025-03-21 11:26:20,670,2,2,1
AP20250219000001,C00000982,PBOC,2025-02-19 13:09:30,625,3,6,1
AP20250222000001,C00000925,TONGDUN,2025-02-22 16:57:36,609,2,7,1
AP20250331000002,C00008190,PBOC,2025-03-31 10:17:24,569,1,1,1
AP20250309000001,C00000852,TONGDUN,2025-03-09 22:29:57,563,3,1,1
AP20250226000001,C00008099,TONGDUN,2025-02-26 13:59:51,570,0,3,1
AP20250422000001,C00002485,TONGDUN,2025-04-22 12:33:31,758,1,4,1
AP20250223000003,C00007599,PBOC,2025-02-23 14:04:02,707,1,5,1
AP20250128000002,C00002994,TONGDUN,2025-01-28 12:38:07,633,3,8,1
AP20250526000001,C00007595,PBOC,2025-05-26 20:15:36,580,3,3,1
AP20250215000002,C00005290,PBOC,2025-02-15 17:59:33,658,1,1,1
AP20250223000004,C00006108,BAIRONG,2025-02-23 17:20:55,705,0,7,1
AP20250424000001,C00006856,BAIRONG,2025-04-24 12:52:33,607,0,2,1
AP20250124000001,C00002906,TONGDUN,2025-01-24 18:28:31,659,2,1,1
AP20250518000001,C00000187,TONGDUN,2025-05-18 12:51:52,476,0,6,1
AP20250221000001,C00009060,TONGDUN,2025-02-21 16:25:55,618,1,4,1
AP20250221000002,C00001580,BAIRONG,2025-02-21 12:11:32,693,0,5,1
AP20250301000001,C00000675,PBOC,2025-03-01 21:36:54,567,1,6,1
AP20250125000001,C00006543,TONGDUN,2025-01-25 21:25:25,793,3,1,1
AP20250328000001,C00008484,BAIRONG,2025-03-29 00:08:50,715,0,6,1
AP20250202000004,C00004105,PBOC,2025-02-02 08:28:32,617,0,4,1
AP20250202000005,C00008316,BAIRONG,2025-02-02 23:47:18,646,3,5,1
AP20250422000002,C00007025,TONGDUN,2025-04-22 13:41:54,585,0,6,1
AP20250502000001,C00002173,PBOC,2025-05-02 12:37:22,672,1,0,1
AP20250510000001,C00007593,BAIRONG,2025-05-10 21:56:22,535,1,7,1
AP20250611000001,C00006697,BAIRONG,2025-06-11 12:53:10,622,3,2,1
AP20250126000001,C00001231,BAIRONG,2025-01-26 20:38:52,615,1,0,1
AP20250318000001,C00008234,TONGDUN,2025-03-18 12:50:11,635,2,8,1
AP20250413000001,C00004252,BAIRONG,2025-04-13 22:32:48,626,2,0,1
AP20250201000003,C00001344,BAIRONG,2025-02-01 23:02:20,662,3,7,1
AP20250211000001,C00000217,PBOC,2025-02-11 10:20:09,609,1,1,1
AP20250203000001,C00000359,TONGDUN,2025-02-03 12:13:47,672,0,6,1
AP20250531000001,C00006028,PBOC,2025-05-31 19:21:27,762,1,3,1
AP20250309000002,C00000962,PBOC,2025-03-09 10:07:55,622,2,1,1
AP20250310000001,C00002438,TONGDUN,2025-03-10 23:01:49,557,1,2,1
AP20250312000001,C00002823,PBOC,2025-03-12 20:43:42,590,3,3,1
AP20250423000001,C00002677,PBOC,2025-04-23 21:56:14,620,1,4,1
AP20250309000003,C00002232,TONGDUN,2025-03-09 12:07:42,702,1,3,1
AP20250226000002,C00004454,TONGDUN,2025-02-26 20:25:59,478,2,3,1
AP20250202000006,C00006958,TONGDUN,2025-02-02 13:01:50,644,1,8,1
AP20250522000002,C00008224,TONGDUN,2025-05-22 13:52:54,665,2,3,1
AP20250429000002,C00004548,PBOC,2025-04-29 22:45:27,663,1,3,1
AP20250317000001,C00008332,BAIRONG,2025-03-17 18:35:44,620,2,1,1
AP20250117000001,C00006144,TONGDUN,2025-01-17 20:08:59,675,3,4,1
AP20250211000002,C00004766,BAIRONG,2025-02-11 14:04:00,461,3,3,1
AP20250309000004,C00004493,PBOC,2025-03-09 12:45:24,698,0,0,1
AP20250211000003,C00001139,TONGDUN,2025-02-11 08:47:14,816,3,4,1
AP20250524000001,C00003009,BAIRONG,2025-05-24 09:58:21,690,3,0,1
AP20250110000001,C00006358,TONGDUN,2025-01-10 23:06:26,595,1,2,1
AP20250430000001,C00006147,PBOC,2025-04-30 12:20:50,676,1,5,1
AP20250214000001,C00004268,BAIRONG,2025-02-14 22:36:56,683,1,4,1
AP20250516000001,C00007186,TONGDUN,2025-05-16 12:04:10,789,0,6,1
AP20250115000001,C00004496,BAIRONG,2025-01-15 15:15:51,652,0,2,1
AP20250302000002,C00001926,BAIRONG,2025-03-02 20:02:50,645,3,1,1
AP20250224000002,C00008103,PBOC,2025-02-24 18:01:04,647,2,5,1
AP20250328000002,C00006564,TONGDUN,2025-03-28 11:25:19,540,2,6,1
AP20250221000003,C00009704,TONGDUN,2025-02-21 20:43:37,732,3,5,1
AP20250304000001,C00007939,TONGDUN,2025-03-04 19:44:35,524,3,3,1
AP20250120000001,C00005078,TONGDUN,2025-01-20 13:06:25,704,3,2,1
AP20250531000002,C00004767,TONGDUN,2025-05-31 13:42:56,587,1,6,1
AP20250318000002,C00008042,TONGDUN,2025-03-18 02:59:59,730,1,0,1
AP20250304000002,C00002465,PBOC,2025-03-04 14:53:44,584,0,6,1
AP20250506000002,C00009016,BAIRONG,2025-05-06 20:45:46,647,3,4,1
AP20250623000001,C00009470,TONGDUN,2025-06-23 10:51:06,731,0,6,1
AP20250523000002,C00009036,TONGDUN,2025-05-23 13:50:29,640,2,3,1
AP20250217000001,C00003603,BAIRONG,2025-02-17 22:15:04,527,0,1,1
AP20250123000002,C00004450,TONGDUN,2025-01-23 22:06:22,576,2,3,1
AP20250306000001,C00005495,PBOC,2025-03-06 12:49:23,588,1,2,1
AP20250218000001,C00008406,BAIRONG,2025-02-18 14:03:10,574,0,5,1
AP20250624000001,C00006805,BAIRONG,2025-06-24 21:13:45,452,1,7,1
AP20250513000001,C00007970,TONGDUN,2025-05-13 11:56:35,566,2,7,1
AP20250215000003,C00008657,PBOC,2025-02-15 21:11:12,719,2,2,1
AP20250302000003,C00000948,TONGDUN,2025-03-02 21:14:22,635,0,4,1
AP20250419000001,C00002583,BAIRONG,2025-04-19 22:56:19,637,0,1,1
AP20250217000002,C00006159,TONGDUN,2025-02-17 20:37:37,700,0,5,1
AP20250331000003,C00001806,BAIRONG,2025-03-31 12:30:45,604,2,4,1
AP20250317000002,C00007187,TONGDUN,2025-03-17 02:50:53,584,3,7,1
AP20250315000001,C00009541,TONGDUN,2025-03-15 22:17:16,715,3,0,1
AP20250213000001,C00009034,PBOC,2025-02-13 20:53:58,587,1,5,1
AP20250216000002,C00007071,BAIRONG,2025-02-16 21:01:56,699,1,7,1
AP20250522000003,C00004756,PBOC,2025-05-22 14:12:57,520,2,6,1
AP20250520000001,C00001093,TONGDUN,2025-05-21 12:03:45,632,3,6,1
AP20250526000002,C00008747,PBOC,2025-05-26 16:53:55,555,1,3,1
AP20250324000001,C00004757,PBOC,2025-03-24 23:41:48,558,1,0,1
AP20250620000001,C00003868,PBOC,2025-06-20 20:20:02,591,0,4,1
AP20250217000003,C00002885,BAIRONG,2025-02-17 15:23:19,683,2,6,1
AP20250310000002,C00008296,TONGDUN,2025-03-10 12:33:32,550,0,6,1
AP20250228000001,C00007380,TONGDUN,2025-02-28 21:45:34,610,1,0,1
AP20250331000004,C00000289,BAIRONG,2025-03-31 02:38:36,814,1,7,1
AP20250307000001,C00009690,BAIRONG,2025-03-07 20:49:06,590,2,0,1
AP20250221000004,C00006539,PBOC,2025-02-21 21:06:11,620,1,2,1
AP20250520000002,C00003596,PBOC,2025-05-20 13:26:07,485,3,3,1
AP20250227000001,C00006433,PBOC,2025-02-27 21:14:00,653,0,0,1
