application_id,customer_id,decision,reject_reasons,approve_amount,approve_apr,approve_term,decided_at,decision_ver,is_test_data
AP20250614000001,C00000304,REJECT,R006,\N,\N,\N,2025-06-14 21:10:03,v1,1
AP20250223000001,C00006878,REJECT,R006,\N,\N,\N,2025-02-23 14:02:06,v1,1
AP20250523000001,C00008383,APPROVE,\N,2000.00,0.23,6,2025-05-23 12:38:08,v1,1
AP20250508000001,C00008033,APPROVE,\N,1000.00,0.13,24,2025-05-08 15:15:37,v1,1
AP20250326000001,C00008037,REJECT,R009,\N,\N,\N,2025-03-26 06:34:11,v1,1
AP20250330000001,C00008608,REJECT,R006,\N,\N,\N,2025-03-30 20:20:48,v1,1
AP20250506000001,C00009413,APPROVE,\N,25455.70,0.20,3,2025-05-06 16:33:11,v1,1
AP20250131000001,C00007379,APPROVE,\N,2000.00,0.11,24,2025-01-31 19:53:42,v1,1
AP20250429000001,C00001346,APPROVE,\N,53774.87,0.18,12,2025-04-29 21:29:12,v1,1
AP20250507000001,C00006202,REJECT,"R006,R008",\N,\N,\N,2025-05-07 13:16:55,v1,1
AP20250618000001,C00004530,APPROVE,\N,30000.00,0.12,36,2025-06-18 21:20:15,v1,1
AP20250128000001,C00000991,REJECT,R009,\N,\N,\N,2025-01-28 13:15:50,v1,1
AP20250302000001,C00002774,REJECT,R008,\N,\N,\N,2025-03-02 20:47:11,v1,1
AP20250202000001,C00006917,REJECT,R006,\N,\N,\N,2025-02-02 12:29:45,v1,1
AP20250208000001,C00004906,APPROVE,\N,2000.00,0.24,24,2025-02-08 22:24:45,v1,1
AP20250127000001,C00008598,APPROVE,\N,5000.00,0.20,36,2025-01-27 11:48:27,v1,1
AP20250202000002,C00001867,APPROVE,\N,1000.00,0.24,36,2025-02-02 07:29:11,v1,1
AP20250602000001,C00003613,REJECT,R009,\N,\N,\N,2025-06-02 13:45:38,v1,1
AP20250201000001,C00001568,APPROVE,\N,48462.90,0.15,12,2025-02-01 01:23:18,v1,1
AP20250614000002,C00005806,APPROVE,\N,2000.00,0.23,36,2025-06-14 12:25:25,v1,1
AP20250521000001,C00001414,APPROVE,\N,10000.00,0.17,24,2025-05-21 19:27:31,v1,1
AP20250609000001,C00009393,REJECT,R004,\N,\N,\N,2025-06-09 21:12:19,v1,1
AP20250210000001,C00002984,APPROVE,\N,2000.00,0.17,6,2025-02-10 22:20:11,v1,1
AP20250127000002,C00004974,REJECT,R008,\N,\N,\N,2025-01-27 22:37:00,v1,1
AP20250123000001,C00006269,REJECT,R008,\N,\N,\N,2025-01-23 20:59:39,v1,1
AP20250421000001,C00008922,APPROVE,\N,37411.86,0.11,18,2025-04-21 10:48:38,v1,1
AP20250401000001,C00002523,APPROVE,\N,1000.00,0.18,3,2025-04-01 13:44:51,v1,1
AP20250303000001,C00002935,REJECT,R006,\N,\N,\N,2025-03-03 12:35:01,v1,1
AP20250602000002,C00003713,APPROVE,\N,10000.00,0.17,6,2025-06-02 23:04:53,v1,1
AP20250130000001,C00000504,APPROVE,\N,46530.48,0.17,12,2025-01-30 22:31:05,v1,1
AP20250201000002,C00003118,APPROVE,\N,5000.00,0.22,6,2025-02-01 19:42:12,v1,1
AP20250215000001,C00003976,APPROVE,\N,5000.00,0.22,12,2025-02-15 22:07:48,v1,1
AP20250303000002,C00005521,REJECT,R006,\N,\N,\N,2025-03-03 22:18:57,v1,1
AP20250223000002,C00001790,REJECT,"R009,R006",\N,\N,\N,2025-02-23 20:43:26,v1,1
AP20250401000002,C00004970,APPROVE,\N,15000.00,0.19,24,2025-04-01 23:28:42,v1,1
AP20250216000001,C00008409,APPROVE,\N,75170.72,0.14,36,2025-02-16 16:28:30,v1,1
AP20250331000001,C00006382,REJECT,R008,\N,\N,\N,2025-03-31 22:31:27,v1,1
AP20250522000001,C00003075,APPROVE,\N,4710.32,0.24,12,2025-05-22 11:13:17,v1,1
AP20250626000001,C00001606,APPROVE,\N,35384.98,0.14,24,2025-06-26 18:11:50,v1,1
AP20250202000003,C00005270,REJECT,R006,\N,\N,\N,2025-02-02 21:16:20,v1,1
AP20250308000001,C00003108,APPROVE,\N,2000.00,0.16,36,2025-03-08 20:27:50,v1,1
AP20250609000002,C00000590,REJECT,R006,\N,\N,\N,2025-06-09 19:11:30,v1,1
AP20250527000001,C00001135,APPROVE,\N,45265.65,0.16,36,2025-05-27 20:48:19,v1,1
AP20250224000001,C00005471,APPROVE,\N,3712.77,0.24,12,2025-02-24 10:11:26,v1,1
AP20250319000001,C00008078,APPROVE,\N,24596.34,0.19,36,2025-03-19 22:20:26,v1,1
AP20250525000001,C00005848,REJECT,R006,\N,\N,\N,2025-05-25 12:43:31,v1,1
AP20250616000001,C00002963,REJECT,R006,\N,\N,\N,2025-06-16 20:45:16,v1,1
AP20250607000001,C00007844,APPROVE,\N,15000.00,0.20,12,2025-06-07 13:53:41,v1,1
AP20250321000001,C00006375,APPROVE,\N,15000.00,0.11,3,2025-03-21 11:30:47,v1,1
