application_id,customer_id,model_code,score,grade,computed_at,is_test_data
AP20250614000001,C00000304,A_SCORE,643,C,2025-06-14 21:08:27,1
AP20250614000001,C00000304,B_SCORE,671,B,2025-06-14 21:08:27,1
AP20250614000001,C00000304,FRAUD_SCORE,235,N/A,2025-06-14 21:08:27,1
AP20250223000001,C00006878,A_SCORE,604,C,2025-02-23 13:58:15,1
AP20250223000001,C00006878,B_SCORE,535,E,2025-02-23 13:58:15,1
AP20250223000001,C00006878,FRAUD_SCORE,194,N/A,2025-02-23 13:58:15,1
AP20250523000001,C00008383,A_SCORE,626,C,2025-05-23 12:36:27,1
AP20250523000001,C00008383,B_SCORE,562,D,2025-05-23 12:36:27,1
AP20250523000001,C00008383,FRAUD_SCORE,253,N/A,2025-05-23 12:36:27,1
AP20250508000001,C00008033,A_SCORE,679,B,2025-05-08 15:14:55,1
AP20250508000001,C00008033,B_SCORE,751,A,2025-05-08 15:14:55,1
AP20250508000001,C00008033,FRAUD_SCORE,226,N/A,2025-05-08 15:14:55,1
AP20250326000001,C00008037,A_SCORE,639,C,2025-03-26 06:30:43,1
AP20250326000001,C00008037,B_SCORE,700,B,2025-03-26 06:30:43,1
AP20250326000001,C00008037,FRAUD_SCORE,168,N/A,2025-03-26 06:30:43,1
AP20250330000001,C00008608,A_SCORE,685,B,2025-03-30 20:17:16,1
AP20250330000001,C00008608,B_SCORE,551,D,2025-03-30 20:17:16,1
AP20250330000001,C00008608,FRAUD_SCORE,267,N/A,2025-03-30 20:17:16,1
AP20250506000001,C00009413,A_SCORE,621,C,2025-05-06 16:31:08,1
AP20250506000001,C00009413,B_SCORE,636,C,2025-05-06 16:31:08,1
AP20250506000001,C00009413,FRAUD_SCORE,230,N/A,2025-05-06 16:31:08,1
AP20250131000001,C00007379,A_SCORE,678,B,2025-01-31 19:52:53,1
AP20250131000001,C00007379,B_SCORE,733,A,2025-01-31 19:52:53,1
AP20250131000001,C00007379,FRAUD_SCORE,158,N/A,2025-01-31 19:52:53,1
AP20250429000001,C00001346,A_SCORE,686,B,2025-04-29 21:27:34,1
AP20250429000001,C00001346,B_SCORE,697,B,2025-04-29 21:27:34,1
