contract_id,loan_id,customer_id,contract_type,signed_at,contract_url,is_test_data
CT20250526000001,LN20250526000001,C00008033,LOAN,2025-05-26 12:31:33,oss://sim/contract/LN20250526000001.pdf,1
CT20250519000001,LN20250519000001,C00009413,LOAN,2025-05-19 11:20:15,oss://sim/contract/LN20250519000001.pdf,1
CT20250629000001,LN20250629000001,C00009413,LOAN,2025-06-29 13:15:16,oss://sim/contract/LN20250629000001.pdf,1
CT20250601000001,LN20250601000001,C00009413,LOAN,2025-06-01 12:46:51,oss://sim/contract/LN20250601000001.pdf,1
CT20250603000001,LN20250603000001,C00009413,LOAN,2025-06-03 18:33:17,oss://sim/contract/LN20250603000001.pdf,1
CT20250604000001,LN20250604000001,C00009413,LOAN,2025-06-04 13:21:59,oss://sim/contract/LN20250604000001.pdf,1
CT20250621000001,LN20250621000001,C00009413,LOAN,2025-06-21 12:22:34,oss://sim/contract/LN20250621000001.pdf,1
CT20250204000001,LN20250204000001,C00007379,LOAN,2025-02-04 07:01:42,oss://sim/contract/LN20250204000001.pdf,1
CT20250215000001,LN20250215000001,C00007379,LOAN,2025-02-15 14:14:34,oss://sim/contract/LN20250215000001.pdf,1
CT20250124000001,LN20250124000001,C00007379,LOAN,2025-01-24 09:54:03,oss://sim/contract/LN20250124000001.pdf,1
CT20250218000001,LN20250218000001,C00007379,LOAN,2025-02-18 21:05:34,oss://sim/contract/LN20250218000001.pdf,1
CT20250304000001,LN20250304000001,C00007379,LOAN,2025-03-04 22:25:40,oss://sim/contract/LN20250304000001.pdf,1
CT20250331000001,LN20250331000001,C00001346,LOAN,2025-03-31 19:56:53,oss://sim/contract/LN20250331000001.pdf,1
CT20250417000001,LN20250417000001,C00001346,LOAN,2025-04-17 13:44:00,oss://sim/contract/LN20250417000001.pdf,1
CT20250411000001,LN20250411000001,C00001346,LOAN,2025-04-11 21:35:39,oss://sim/contract/LN20250411000001.pdf,1
CT20250625000001,LN20250625000001,C00004530,LOAN,2025-06-25 13:22:51,oss://sim/contract/LN20250625000001.pdf,1
CT20250212000001,LN20250212000001,C00004906,LOAN,2025-02-12 12:39:44,oss://sim/contract/LN20250212000001.pdf,1
CT20250128000001,LN20250128000001,C00004906,LOAN,2025-01-28 12:15:49,oss://sim/contract/LN20250128000001.pdf,1
CT20250214000001,LN20250214000001,C00004906,LOAN,2025-02-14 22:36:42,oss://sim/contract/LN20250214000001.pdf,1
CT20250213000001,LN20250213000001,C00004906,LOAN,2025-02-13 11:14:40,oss://sim/contract/LN20250213000001.pdf,1
CT20250207000001,LN20250207000001,C00008598,LOAN,2025-02-07 20:34:52,oss://sim/contract/LN20250207000001.pdf,1
CT20250304000002,LN20250304000002,C00008598,LOAN,2025-03-04 13:39:04,oss://sim/contract/LN20250304000002.pdf,1
CT20250120000001,LN20250120000001,C00008598,LOAN,2025-01-20 22:53:15,oss://sim/contract/LN20250120000001.pdf,1
CT20250203000001,LN20250203000001,C00001568,LOAN,2025-02-03 12:37:17,oss://sim/contract/LN20250203000001.pdf,1
CT20250304000003,LN20250304000003,C00001568,LOAN,2025-03-04 20:37:40,oss://sim/contract/LN20250304000003.pdf,1
CT20250210000001,LN20250210000001,C00001568,LOAN,2025-02-10 12:45:46,oss://sim/contract/LN20250210000001.pdf,1
CT20250608000001,LN20250608000001,C00005806,LOAN,2025-06-08 06:31:59,oss://sim/contract/LN20250608000001.pdf,1
CT20250526000002,LN20250526000002,C00001414,LOAN,2025-05-26 13:47:46,oss://sim/contract/LN20250526000002.pdf,1
CT20250531000001,LN20250531000001,C00001414,LOAN,2025-05-31 18:08:12,oss://sim/contract/LN20250531000001.pdf,1
CT20250301000001,LN20250301000001,C00002984,LOAN,2025-03-01 11:20:37,oss://sim/contract/LN20250301000001.pdf,1
CT20250130000001,LN20250130000001,C00002984,LOAN,2025-01-30 15:47:15,oss://sim/contract/LN20250130000001.pdf,1
CT20250424000001,LN20250424000001,C00008922,LOAN,2025-04-24 21:03:37,oss://sim/contract/LN20250424000001.pdf,1
CT20250413000001,LN20250413000001,C00002523,LOAN,2025-04-13 13:02:15,oss://sim/contract/LN20250413000001.pdf,1
CT20250425000001,LN20250425000001,C00002523,LOAN,2025-04-25 13:47:49,oss://sim/contract/LN20250425000001.pdf,1
CT20250504000001,LN20250504000001,C00002523,LOAN,2025-05-04 20:00:09,oss://sim/contract/LN20250504000001.pdf,1
CT20250417000002,LN20250417000002,C00002523,LOAN,2025-04-17 13:39:52,oss://sim/contract/LN20250417000002.pdf,1
CT20250430000001,LN20250430000001,C00002523,LOAN,2025-04-30 18:21:14,oss://sim/contract/LN20250430000001.pdf,1
CT20250612000001,LN20250612000001,C00003713,LOAN,2025-06-12 12:21:42,oss://sim/contract/LN20250612000001.pdf,1
CT20250209000001,LN20250209000001,C00000504,LOAN,2025-02-09 13:03:43,oss://sim/contract/LN20250209000001.pdf,1
CT20250216000001,LN20250216000001,C00003118,LOAN,2025-02-16 08:12:31,oss://sim/contract/LN20250216000001.pdf,1
CT20250227000001,LN20250227000001,C00003976,LOAN,2025-02-27 21:42:46,oss://sim/contract/LN20250227000001.pdf,1
CT20250221000001,LN20250221000001,C00008409,LOAN,2025-02-21 21:01:13,oss://sim/contract/LN20250221000001.pdf,1
CT20250227000002,LN20250227000002,C00008409,LOAN,2025-02-27 22:44:49,oss://sim/contract/LN20250227000002.pdf,1
CT20250614000001,LN20250614000001,C00003075,LOAN,2025-06-14 11:31:51,oss://sim/contract/LN20250614000001.pdf,1
CT20250511000001,LN20250511000001,C00003075,LOAN,2025-05-11 16:00:49,oss://sim/contract/LN20250511000001.pdf,1
CT20250513000001,LN20250513000001,C00003075,LOAN,2025-05-13 23:24:35,oss://sim/contract/LN20250513000001.pdf,1
CT20250507000001,LN20250507000001,C00003075,LOAN,2025-05-07 19:19:53,oss://sim/contract/LN20250507000001.pdf,1
CT20250318000001,LN20250318000001,C00003108,LOAN,2025-03-18 20:30:04,oss://sim/contract/LN20250318000001.pdf,1
CT20250327000001,LN20250327000001,C00003108,LOAN,2025-03-27 20:15:00,oss://sim/contract/LN20250327000001.pdf,1
CT20250604000002,LN20250604000002,C00001135,LOAN,2025-06-04 10:06:56,oss://sim/contract/LN20250604000002.pdf,1
CT20250516000001,LN20250516000001,C00001135,LOAN,2025-05-16 12:10:37,oss://sim/contract/LN20250516000001.pdf,1
CT20250304000004,LN20250304000004,C00005471,LOAN,2025-03-04 22:30:58,oss://sim/contract/LN20250304000004.pdf,1
CT20250209000002,LN20250209000002,C00005471,LOAN,2025-02-09 21:38:10,oss://sim/contract/LN20250209000002.pdf,1
CT20250407000001,LN20250407000001,C00008078,LOAN,2025-04-07 20:19:49,oss://sim/contract/LN20250407000001.pdf,1
CT20250612000002,LN20250612000002,C00007844,LOAN,2025-06-12 19:23:11,oss://sim/contract/LN20250612000002.pdf,1
CT20250429000001,LN20250429000001,C00002485,LOAN,2025-04-29 20:56:40,oss://sim/contract/LN20250429000001.pdf,1
CT20250309000001,LN20250309000001,C00002994,LOAN,2025-03-09 12:15:38,oss://sim/contract/LN20250309000001.pdf,1
CT20250327000002,LN20250327000002,C00005290,LOAN,2025-03-27 13:50:13,oss://sim/contract/LN20250327000002.pdf,1
CT20250316000001,LN20250316000001,C00005290,LOAN,2025-03-16 12:20:46,oss://sim/contract/LN20250316000001.pdf,1
CT20250223000001,LN20250223000001,C00006108,LOAN,2025-02-23 18:08:01,oss://sim/contract/LN20250223000001.pdf,1
CT20250402000001,LN20250402000001,C00006108,LOAN,2025-04-02 17:10:28,oss://sim/contract/LN20250402000001.pdf,1
CT20250222000001,LN20250222000001,C00006108,LOAN,2025-02-22 12:52:54,oss://sim/contract/LN20250222000001.pdf,1
CT20250125000001,LN20250125000001,C00002906,LOAN,2025-01-25 20:36:45,oss://sim/contract/LN20250125000001.pdf,1
CT20250115000001,LN20250115000001,C00002906,LOAN,2025-01-15 13:00:38,oss://sim/contract/LN20250115000001.pdf,1
