customer_id,product_code,total_amount,available_amount,used_amount,apr,grade,valid_from,valid_to,status,created_at,is_test_data
C00008383,JOINT_LOAN,2000.00,2000.00,0,0.23,D,2025-05-23,2026-05-23,ACTIVE,2025-05-23 12:38:08,1
C00008033,JOINT_LOAN,1000.00,1000.00,0,0.13,A,2025-05-08,2026-05-08,ACTIVE,2025-05-08 15:15:37,1
C00009413,SELF_LOAN,25455.70,25455.70,0,0.20,C,2025-05-06,2026-05-06,ACTIVE,2025-05-06 16:33:11,1
C00007379,SELF_LOAN,2000.00,2000.00,0,0.11,A,2025-01-31,2026-01-31,ACTIVE,2025-01-31 19:53:42,1
C00001346,PLATFORM_LOAN,53774.87,53774.87,0,0.18,B,2025-04-29,2026-04-29,ACTIVE,2025-04-29 21:29:12,1
C00004530,JOINT_LOAN,30000.00,30000.00,0,0.12,A,2025-06-18,2026-06-18,ACTIVE,2025-06-18 21:20:15,1
C00004906,JOINT_LOAN,2000.00,2000.00,0,0.24,D,2025-02-08,2026-02-08,ACTIVE,2025-02-08 22:24:45,1
C00008598,JOINT_LOAN,5000.00,5000.00,0,0.20,C,2025-01-27,2026-01-27,ACTIVE,2025-01-27 11:48:27,1
C00001867,PLATFORM_LOAN,1000.00,1000.00,0,0.24,E,2025-02-02,2026-02-02,ACTIVE,2025-02-02 07:29:11,1
C00001568,PLATFORM_LOAN,48462.90,48462.90,0,0.15,B,2025-02-01,2026-02-01,ACTIVE,2025-02-01 01:23:18,1
C00005806,PLATFORM_LOAN,2000.00,2000.00,0,0.23,D,2025-06-14,2026-06-14,ACTIVE,2025-06-14 12:25:25,1
C00001414,SELF_LOAN,10000.00,10000.00,0,0.17,B,2025-05-21,2026-05-21,ACTIVE,2025-05-21 19:27:31,1
C00002984,JOINT_LOAN,2000.00,2000.00,0,0.17,B,2025-02-10,2026-02-10,ACTIVE,2025-02-10 22:20:11,1
C00008922,SELF_LOAN,37411.86,37411.86,0,0.11,A,2025-04-21,2026-04-21,ACTIVE,2025-04-21 10:48:38,1
C00002523,GUARANTEE_LOAN,1000.00,1000.00,0,0.18,C,2025-04-01,2026-04-01,ACTIVE,2025-04-01 13:44:51,1
C00003713,SELF_LOAN,10000.00,10000.00,0,0.17,B,2025-06-02,2026-06-02,ACTIVE,2025-06-02 23:04:53,1
C00000504,SELF_LOAN,46530.48,46530.48,0,0.17,B,2025-01-30,2026-01-30,ACTIVE,2025-01-30 22:31:05,1
C00003118,SELF_LOAN,5000.00,5000.00,0,0.22,D,2025-02-01,2026-02-01,ACTIVE,2025-02-01 19:42:12,1
C00003976,SELF_LOAN,5000.00,5000.00,0,0.22,D,2025-02-15,2026-02-15,ACTIVE,2025-02-15 22:07:48,1
C00004970,GUARANTEE_LOAN,15000.00,15000.00,0,0.19,C,2025-04-01,2026-04-01,ACTIVE,2025-04-01 23:28:42,1
C00008409,PLATFORM_LOAN,75170.72,75170.72,0,0.14,A,2025-02-16,2026-02-16,ACTIVE,2025-02-16 16:28:30,1
C00003075,SELF_LOAN,4710.32,4710.32,0,0.24,E,2025-05-22,2026-05-22,ACTIVE,2025-05-22 11:13:17,1
C00001606,SELF_LOAN,35384.98,35384.98,0,0.14,B,2025-06-26,2026-06-26,ACTIVE,2025-06-26 18:11:50,1
C00003108,SELF_LOAN,2000.00,2000.00,0,0.16,B,2025-03-08,2026-03-08,ACTIVE,2025-03-08 20:27:50,1
C00001135,JOINT_LOAN,45265.65,45265.65,0,0.16,B,2025-05-27,2026-05-27,ACTIVE,2025-05-27 20:48:19,1
C00005471,PLATFORM_LOAN,3712.77,3712.77,0,0.24,E,2025-02-24,2026-02-24,ACTIVE,2025-02-24 10:11:26,1
C00008078,JOINT_LOAN,24596.34,24596.34,0,0.19,C,2025-03-19,2026-03-19,ACTIVE,2025-03-19 22:20:26,1
C00007844,SELF_LOAN,15000.00,15000.00,0,0.20,C,2025-06-07,2026-06-07,ACTIVE,2025-06-07 13:53:41,1
C00006375,SELF_LOAN,15000.00,15000.00,0,0.11,A,2025-03-21,2026-03-21,ACTIVE,2025-03-21 11:30:47,1
C00002485,PLATFORM_LOAN,5000.00,5000.00,0,0.21,C,2025-04-22,2026-04-22,ACTIVE,2025-04-22 12:36:13,1
C00002994,SELF_LOAN,42037.38,42037.38,0,0.15,B,2025-01-28,2026-01-28,ACTIVE,2025-01-28 12:39:34,1
C00005290,SELF_LOAN,15000.00,15000.00,0,0.15,B,2025-02-15,2026-02-15,ACTIVE,2025-02-15 18:04:22,1
C00006108,SELF_LOAN,30000.00,30000.00,0,0.12,A,2025-02-23,2026-02-23,ACTIVE,2025-02-23 17:23:01,1
C00002906,JOINT_LOAN,1000.00,1000.00,0,0.14,B,2025-01-24,2026-01-24,ACTIVE,2025-01-24 18:33:37,1
C00000187,PLATFORM_LOAN,8000.00,8000.00,0,0.18,C,2025-05-18,2026-05-18,ACTIVE,2025-05-18 12:55:30,1
