loan_id,fee_type,fee_amount,charge_time,is_test_data
LN20250526000001,SERVICE_FEE,5.00,2025-05-26 12:36:33,1
LN20250519000001,SERVICE_FEE,509.11,2025-05-19 11:25:15,1
LN20250629000001,SERVICE_FEE,743.11,2025-06-29 13:20:16,1
LN20250601000001,SERVICE_FEE,5.00,2025-06-01 12:51:51,1
LN20250603000001,SERVICE_FEE,100.00,2025-06-03 18:38:17,1
LN20250604000001,SERVICE_FEE,100.00,2025-06-04 13:26:59,1
LN20250621000001,SERVICE_FEE,300.00,2025-06-21 12:27:34,1
LN20250204000001,SERVICE_FEE,40.00,2025-02-04 07:06:42,1
LN20250215000001,SERVICE_FEE,40.00,2025-02-15 14:19:34,1
LN20250124000001,SERVICE_FEE,20.00,2025-01-24 09:59:03,1
LN20250218000001,SERVICE_FEE,300.00,2025-02-18 21:10:34,1
LN20250304000001,SERVICE_FEE,457.03,2025-03-04 22:30:40,1
LN20250331000001,SERVICE_FEE,64.14,2025-03-31 20:01:53,1
LN20250417000001,SERVICE_FEE,150.00,2025-04-17 13:49:00,1
LN20250411000001,SERVICE_FEE,600.00,2025-04-11 21:40:39,1
LN20250625000001,SERVICE_FEE,150.00,2025-06-25 13:27:51,1
LN20250212000001,SERVICE_FEE,10.00,2025-02-12 12:44:44,1
LN20250128000001,SERVICE_FEE,300.00,2025-01-28 12:20:49,1
LN20250214000001,SERVICE_FEE,240.26,2025-02-14 22:41:42,1
LN20250213000001,SERVICE_FEE,10.00,2025-02-13 11:19:40,1
LN20250207000001,SERVICE_FEE,20.00,2025-02-07 20:39:52,1
LN20250304000002,SERVICE_FEE,400.00,2025-03-04 13:44:04,1
LN20250120000001,SERVICE_FEE,5.00,2025-01-20 22:58:15,1
LN20250203000001,SERVICE_FEE,484.63,2025-02-03 12:42:17,1
LN20250304000003,SERVICE_FEE,686.01,2025-03-04 20:42:40,1
LN20250210000001,SERVICE_FEE,243.36,2025-02-10 12:50:46,1
LN20250608000001,SERVICE_FEE,131.66,2025-06-08 06:36:59,1
LN20250526000002,SERVICE_FEE,200.00,2025-05-26 13:52:46,1
LN20250531000001,SERVICE_FEE,155.13,2025-05-31 18:13:12,1
LN20250301000001,SERVICE_FEE,10.00,2025-03-01 11:25:37,1
LN20250130000001,SERVICE_FEE,600.00,2025-01-30 15:52:15,1
LN20250424000001,SERVICE_FEE,475.80,2025-04-24 21:08:37,1
LN20250413000001,SERVICE_FEE,30.00,2025-04-13 13:07:15,1
LN20250425000001,SERVICE_FEE,146.33,2025-04-25 13:52:49,1
LN20250504000001,SERVICE_FEE,81.59,2025-05-04 20:05:09,1
LN20250417000002,SERVICE_FEE,40.91,2025-04-17 13:44:52,1
