loan_id,from_status,to_status,remark,changed_at,is_test_data
LN20250526000001,\N,NORMAL,放款成功,2025-05-26 12:36:33,1
LN20250519000001,\N,NORMAL,放款成功,2025-05-19 11:25:15,1
LN20250629000001,\N,NORMAL,放款成功,2025-06-29 13:20:16,1
LN20250601000001,\N,NORMAL,放款成功,2025-06-01 12:51:51,1
LN20250603000001,\N,NORMAL,放款成功,2025-06-03 18:38:17,1
LN20250604000001,\N,NORMAL,放款成功,2025-06-04 13:26:59,1
LN20250621000001,\N,NORMAL,放款成功,2025-06-21 12:27:34,1
LN20250204000001,\N,NORMAL,放款成功,2025-02-04 07:06:42,1
LN20250215000001,\N,NORMAL,放款成功,2025-02-15 14:19:34,1
LN20250124000001,\N,NORMAL,放款成功,2025-01-24 09:59:03,1
LN20250218000001,\N,NORMAL,放款成功,2025-02-18 21:10:34,1
LN20250304000001,\N,NORMAL,放款成功,2025-03-04 22:30:40,1
LN20250331000001,\N,NORMAL,放款成功,2025-03-31 20:01:53,1
LN20250417000001,\N,NORMAL,放款成功,2025-04-17 13:49:00,1
LN20250411000001,\N,NORMAL,放款成功,2025-04-11 21:40:39,1
LN20250625000001,\N,NORMAL,放款成功,2025-06-25 13:27:51,1
LN20250212000001,\N,NORMAL,放款成功,2025-02-12 12:44:44,1
LN20250128000001,\N,NORMAL,放款成功,2025-01-28 12:20:49,1
LN20250214000001,\N,NORMAL,放款成功,2025-02-14 22:41:42,1
LN20250213000001,\N,NORMAL,放款成功,2025-02-13 11:19:40,1
LN20250207000001,\N,NORMAL,放款成功,2025-02-07 20:39:52,1
LN20250304000002,\N,NORMAL,放款成功,2025-03-04 13:44:04,1
LN20250120000001,\N,NORMAL,放款成功,2025-01-20 22:58:15,1
LN20250203000001,\N,NORMAL,放款成功,2025-02-03 12:42:17,1
LN20250304000003,\N,NORMAL,放款成功,2025-03-04 20:42:40,1
LN20250210000001,\N,NORMAL,放款成功,2025-02-10 12:50:46,1
LN20250608000001,\N,NORMAL,放款成功,2025-06-08 06:36:59,1
LN20250526000002,\N,NORMAL,放款成功,2025-05-26 13:52:46,1
LN20250531000001,\N,NORMAL,放款成功,2025-05-31 18:13:12,1
LN20250301000001,\N,NORMAL,放款成功,2025-03-01 11:25:37,1
LN20250130000001,\N,NORMAL,放款成功,2025-01-30 15:52:15,1
LN20250424000001,\N,NORMAL,放款成功,2025-04-24 21:08:37,1
LN20250413000001,\N,NORMAL,放款成功,2025-04-13 13:07:15,1
LN20250425000001,\N,NORMAL,放款成功,2025-04-25 13:52:49,1
LN20250504000001,\N,NORMAL,放款成功,2025-05-04 20:05:09,1
LN20250417000002,\N,NORMAL,放款成功,2025-04-17 13:44:52,1
LN20250430000001,\N,NORMAL,放款成功,2025-04-30 18:26:14,1
LN20250612000001,\N,NORMAL,放款成功,2025-06-12 12:26:42,1
LN20250209000001,\N,NORMAL,放款成功,2025-02-09 13:08:43,1
LN20250216000001,\N,NORMAL,放款成功,2025-02-16 08:17:31,1
LN20250227000001,\N,NORMAL,放款成功,2025-02-27 21:47:46,1
LN20250221000001,\N,NORMAL,放款成功,2025-02-21 21:06:13,1
LN20250227000002,\N,NORMAL,放款成功,2025-02-27 22:49:49,1
LN20250614000001,\N,NORMAL,放款成功,2025-06-14 11:36:51,1
LN20250511000001,\N,NORMAL,放款成功,2025-05-11 16:05:49,1
LN20250513000001,\N,NORMAL,放款成功,2025-05-13 23:29:35,1
LN20250507000001,\N,NORMAL,放款成功,2025-05-07 19:24:53,1
LN20250318000001,\N,NORMAL,放款成功,2025-03-18 20:35:04,1
LN20250327000001,\N,NORMAL,放款成功,2025-03-27 20:20:00,1
LN20250604000002,\N,NORMAL,放款成功,2025-06-04 10:11:56,1
LN20250516000001,\N,NORMAL,放款成功,2025-05-16 12:15:37,1
LN20250304000004,\N,NORMAL,放款成功,2025-03-04 22:35:58,1
LN20250209000002,\N,NORMAL,放款成功,2025-02-09 21:43:10,1
LN20250407000001,\N,NORMAL,放款成功,2025-04-07 20:24:49,1
LN20250612000002,\N,NORMAL,放款成功,2025-06-12 19:28:11,1
LN20250429000001,\N,NORMAL,放款成功,2025-04-29 21:01:40,1
LN20250309000001,\N,NORMAL,放款成功,2025-03-09 12:20:38,1
LN20250327000002,\N,NORMAL,放款成功,2025-03-27 13:55:13,1
LN20250316000001,\N,NORMAL,放款成功,2025-03-16 12:25:46,1
LN20250223000001,\N,NORMAL,放款成功,2025-02-23 18:13:01,1
LN20250402000001,\N,NORMAL,放款成功,2025-04-02 17:15:28,1
LN20250222000001,\N,NORMAL,放款成功,2025-02-22 12:57:54,1
LN20250125000001,\N,NORMAL,放款成功,2025-01-25 20:41:45,1
LN20250115000001,\N,NORMAL,放款成功,2025-01-15 13:05:38,1
LN20250128000002,\N,NORMAL,放款成功,2025-01-28 13:46:58,1
LN20250612000003,\N,NORMAL,放款成功,2025-06-12 21:41:58,1
LN20250516000002,\N,NORMAL,放款成功,2025-05-16 20:23:37,1
LN20250311000001,\N,NORMAL,放款成功,2025-03-11 20:47:51,1
LN20250413000002,\N,NORMAL,放款成功,2025-04-13 02:03:58,1
LN20250214000002,\N,NORMAL,放款成功,2025-02-14 21:51:28,1
LN20250217000001,\N,NORMAL,放款成功,2025-02-17 20:28:15,1
LN20250217000002,\N,NORMAL,放款成功,2025-02-17 22:29:03,1
LN20250310000001,\N,NORMAL,放款成功,2025-03-10 18:26:48,1
LN20250323000001,\N,NORMAL,放款成功,2025-03-23 17:17:45,1
LN20250308000001,\N,NORMAL,放款成功,2025-03-08 16:49:55,1
LN20250224000001,\N,NORMAL,放款成功,2025-02-24 14:06:36,1
LN20250209000003,\N,NORMAL,放款成功,2025-02-09 10:28:37,1
LN20250515000001,\N,NORMAL,放款成功,2025-05-15 12:54:07,1
LN20250505000001,\N,NORMAL,放款成功,2025-05-05 22:56:06,1
LN20250514000001,\N,NORMAL,放款成功,2025-05-14 17:43:01,1
LN20250411000002,\N,NORMAL,放款成功,2025-04-11 13:28:22,1
LN20250619000001,\N,NORMAL,放款成功,2025-06-19 01:55:48,1
LN20250313000001,\N,NORMAL,放款成功,2025-03-13 17:20:28,1
LN20250328000001,\N,NORMAL,放款成功,2025-03-28 21:05:50,1
LN20250311000002,\N,NORMAL,放款成功,2025-03-11 13:47:37,1
LN20250223000002,\N,NORMAL,放款成功,2025-02-23 10:21:14,1
LN20250316000002,\N,NORMAL,放款成功,2025-03-16 13:32:58,1
LN20250312000001,\N,NORMAL,放款成功,2025-03-12 21:02:41,1
LN20250322000001,\N,NORMAL,放款成功,2025-03-22 09:45:56,1
LN20250326000001,\N,NORMAL,放款成功,2025-03-26 11:39:34,1
LN20250511000002,\N,NORMAL,放款成功,2025-05-11 20:15:32,1
LN20250503000001,\N,NORMAL,放款成功,2025-05-03 19:51:05,1
LN20250317000001,\N,NORMAL,放款成功,2025-03-17 16:19:29,1
LN20250201000001,\N,NORMAL,放款成功,2025-02-01 22:15:30,1
LN20250210000002,\N,NORMAL,放款成功,2025-02-10 11:14:52,1
LN20250218000002,\N,NORMAL,放款成功,2025-02-18 08:55:47,1
LN20250326000002,\N,NORMAL,放款成功,2025-03-26 20:05:17,1
LN20250406000001,\N,NORMAL,放款成功,2025-04-06 21:58:30,1
LN20250412000001,\N,NORMAL,放款成功,2025-04-12 11:45:43,1
LN20250118000001,\N,NORMAL,放款成功,2025-01-18 12:48:05,1
LN20250224000002,\N,NORMAL,放款成功,2025-02-24 22:38:08,1
LN20250202000001,\N,NORMAL,放款成功,2025-02-02 13:03:19,1
LN20250129000001,\N,NORMAL,放款成功,2025-01-29 20:54:58,1
LN20250124000002,\N,NORMAL,放款成功,2025-01-24 13:28:06,1
LN20250608000002,\N,NORMAL,放款成功,2025-06-08 20:14:26,1
LN20250630000001,\N,NORMAL,放款成功,2025-06-30 07:22:21,1
LN20250615000001,\N,NORMAL,放款成功,2025-06-15 22:47:47,1
LN20250529000001,\N,NORMAL,放款成功,2025-05-29 12:37:59,1
LN20250216000002,\N,NORMAL,放款成功,2025-02-16 12:41:50,1
LN20250223000003,\N,NORMAL,放款成功,2025-02-23 10:27:51,1
LN20250530000001,\N,NORMAL,放款成功,2025-05-30 21:54:53,1
LN20250604000003,\N,NORMAL,放款成功,2025-06-04 16:18:01,1
LN20250121000001,\N,NORMAL,放款成功,2025-01-21 21:23:08,1
LN20250304000005,\N,NORMAL,放款成功,2025-03-04 21:55:10,1
LN20250215000002,\N,NORMAL,放款成功,2025-02-15 21:34:48,1
LN20250225000001,\N,NORMAL,放款成功,2025-02-25 10:53:06,1
LN20250409000001,\N,NORMAL,放款成功,2025-04-09 11:39:18,1
LN20250626000001,\N,NORMAL,放款成功,2025-06-26 12:06:52,1
LN20250512000001,\N,NORMAL,放款成功,2025-05-12 17:45:49,1
LN20250526000003,\N,NORMAL,放款成功,2025-05-26 14:15:05,1
LN20250228000001,\N,NORMAL,放款成功,2025-02-28 14:13:32,1
LN20250221000002,\N,NORMAL,放款成功,2025-02-21 02:16:05,1
LN20250203000002,\N,NORMAL,放款成功,2025-02-03 12:15:12,1
LN20250213000002,\N,NORMAL,放款成功,2025-02-13 20:30:57,1
LN20250527000001,\N,NORMAL,放款成功,2025-05-27 12:04:49,1
LN20250618000001,\N,NORMAL,放款成功,2025-06-18 22:24:29,1
LN20250215000003,\N,NORMAL,放款成功,2025-02-15 21:35:17,1
LN20250321000001,\N,NORMAL,放款成功,2025-03-21 21:35:11,1
LN20250501000001,\N,NORMAL,放款成功,2025-05-01 20:48:19,1
LN20250425000002,\N,NORMAL,放款成功,2025-04-25 15:53:42,1
LN20250328000002,\N,NORMAL,放款成功,2025-03-28 13:29:31,1
LN20250306000001,\N,NORMAL,放款成功,2025-03-06 12:36:58,1
LN20250306000002,\N,NORMAL,放款成功,2025-03-06 00:20:14,1
LN20250212000002,\N,NORMAL,放款成功,2025-02-12 21:36:01,1
LN20250404000001,\N,NORMAL,放款成功,2025-04-04 20:00:26,1
LN20250317000002,\N,NORMAL,放款成功,2025-03-17 13:56:15,1
LN20250614000002,\N,NORMAL,放款成功,2025-06-14 13:46:32,1
LN20250615000002,\N,NORMAL,放款成功,2025-06-15 21:33:04,1
LN20250629000002,\N,NORMAL,放款成功,2025-06-29 13:46:24,1
LN20250617000001,\N,NORMAL,放款成功,2025-06-17 09:17:21,1
LN20250624000001,\N,NORMAL,放款成功,2025-06-24 20:54:50,1
LN20250620000001,\N,NORMAL,放款成功,2025-06-20 16:32:24,1
