loan_id,period_no,overdue_start_date,overdue_end_date,overdue_days,overdue_amount,stage,is_test_data
LN20250213000001,1,2025-03-16,\N,107,73.31,M3+,1
LN20250221000001,1,2025-03-24,\N,99,2569.16,M3+,1
LN20250217000002,1,2025-03-20,\N,103,1765.23,M3+,1
LN20250512000001,1,2025-06-12,\N,19,330.09,M1,1
LN20250425000002,1,2025-05-26,\N,36,125.78,M2,1
LN20250513000002,1,2025-06-13,\N,18,90.73,M1,1
LN20250213000003,3,2025-05-15,2025-05-31,17,399.39,M1,1
LN20250225000002,3,2025-05-27,2025-06-17,22,7615.11,M1,1
LN20250201000003,3,2025-05-03,2025-05-26,24,691.26,M1,1
LN20250219000002,2,2025-04-21,2025-05-10,20,6296.57,M1,1
LN20250407000003,2,2025-06-07,2025-06-25,19,1201.15,M1,1
LN20250415000001,1,2025-05-16,\N,46,10218.74,M2,1
LN20250309000007,1,2025-04-09,\N,83,287.24,M3,1
LN20250520000002,1,2025-06-20,\N,11,129.53,M1,1
LN20250304000008,3,2025-06-03,\N,28,178.02,M1,1
LN20250310000008,1,2025-04-10,\N,82,1304.90,M3,1
LN20250308000004,3,2025-06-07,2025-06-28,22,185.27,M1,1
LN20250405000004,1,2025-05-06,\N,56,907.31,M2,1
LN20250304000010,3,2025-06-03,2025-06-24,22,1805.17,M1,1
LN20250408000003,2,2025-06-08,2025-06-24,17,2646.96,M1,1
LN20250312000008,3,2025-06-11,2025-06-28,18,1770.23,M1,1
LN20250321000007,2,2025-05-21,2025-06-05,16,384.10,M1,1
LN20250227000009,2,2025-04-29,2025-05-21,23,3324.34,M1,1
LN20250205000004,1,2025-03-08,\N,115,736.35,M3+,1
LN20250304000014,3,2025-06-03,2025-06-17,15,941.47,M1,1
LN20250321000009,2,2025-05-21,2025-06-12,23,3428.22,M1,1
LN20250317000009,2,2025-05-17,2025-06-06,21,594.16,M1,1
LN20250411000007,2,2025-06-11,2025-06-27,17,1113.42,M1,1
LN20250316000005,3,2025-06-15,\N,16,418.50,M1,1
LN20250430000007,2,2025-06-30,\N,1,2153.84,M1,1
LN20250219000008,4,2025-06-20,\N,11,484.87,M1,1
LN20250309000009,2,2025-05-09,\N,53,1805.17,M2,1
LN20250517000010,1,2025-06-17,\N,14,14916.36,M1,1
LN20250210000005,2,2025-04-12,2025-05-02,21,2581.37,M1,1
LN20250214000017,1,2025-03-17,\N,106,244.82,M3+,1
LN20250215000017,1,2025-03-18,\N,105,246.06,M3+,1
LN20250313000010,2,2025-05-13,2025-06-01,20,346.19,M1,1
LN20250527000006,1,2025-06-27,\N,4,465.57,M1,1
LN20250217000010,3,2025-05-19,\N,43,3450.67,M2,1
LN20250222000013,1,2025-03-25,\N,98,1281.29,M3+,1
LN20250218000013,3,2025-05-20,2025-06-04,16,960.98,M1,1
LN20250213000013,1,2025-03-16,\N,107,948.43,M3+,1
LN20250214000018,3,2025-05-16,\N,46,1076.00,M2,1
LN20250214000019,4,2025-06-15,\N,16,1549.33,M1,1
LN20250331000006,3,2025-06-30,\N,1,5029.10,M1,1
LN20250427000007,1,2025-05-28,\N,34,4281.08,M2,1
LN20250513000009,1,2025-06-13,\N,18,971.51,M1,1
LN20250219000012,4,2025-06-20,\N,11,2508.45,M1,1
LN20250321000014,3,2025-06-20,\N,11,1829.10,M1,1
LN20250218000014,3,2025-05-20,2025-06-07,19,1198.99,M1,1
LN20250113000002,2,2025-03-15,2025-04-06,23,252.19,M1,1
LN20250524000008,1,2025-06-24,\N,7,2742.58,M1,1
LN20250315000007,2,2025-05-15,2025-06-08,25,2136.94,M1,1
LN20250303000014,3,2025-06-02,\N,29,146.73,M1,1
