loan_id,period_no,plan_id,pay_time,pay_amount,principal_paid,interest_paid,fee_paid,penalty_paid,pay_channel,is_test_data
LN20250526000001,1,\N,2025-06-25 09:22:00,47.54,36.71,10.83,0,0,AUTO,1
LN20250519000001,1,\N,2025-06-16 19:42:00,8769.63,8345.37,424.26,0,0,MANUAL,1
LN20250204000001,1,\N,2025-03-04 10:01:00,93.22,74.88,18.33,0,0,AUTO,1
LN20250204000001,2,\N,2025-04-04 15:25:00,93.22,75.57,17.65,0,0,MANUAL,1
LN20250204000001,3,\N,2025-05-04 17:22:00,93.22,76.26,16.95,0,0,MANUAL,1
LN20250204000001,4,\N,2025-06-02 12:12:00,93.22,76.96,16.26,0,0,MANUAL,1
LN20250215000001,1,\N,2025-03-13 17:58:00,1376.44,1303.10,73.33,0,0,AUTO,1
LN20250215000001,2,\N,2025-04-13 09:56:00,1376.44,1315.05,61.39,0,0,MANUAL,1
LN20250215000001,3,\N,2025-05-16 10:07:00,1376.44,1327.10,49.33,0,0,AUTO,1
LN20250215000001,4,\N,2025-06-12 12:52:00,1376.44,1339.27,37.17,0,0,MANUAL,1
LN20250124000001,1,\N,2025-02-19 18:07:00,683.40,658.40,25.00,0,0,MANUAL,1
LN20250124000001,2,\N,2025-03-25 09:34:00,683.40,666.63,16.77,0,0,AUTO,1
LN20250124000001,3,\N,2025-04-21 18:10:00,683.40,674.97,8.44,0,0,MANUAL,1
LN20250218000001,1,\N,2025-03-15 11:12:00,10234.24,9884.24,350.00,0,0,AUTO,1
LN20250218000001,2,\N,2025-04-19 09:47:00,10234.24,9999.55,234.68,0,0,AUTO,1
LN20250218000001,3,\N,2025-05-17 13:32:00,10234.24,10116.21,118.02,0,0,MANUAL,1
LN20250304000001,1,\N,2025-03-30 15:32:00,2127.78,1727.88,399.90,0,0,MANUAL,1
LN20250304000001,2,\N,2025-05-02 17:42:00,2127.78,1758.12,369.66,0,0,MANUAL,1
LN20250304000001,3,\N,2025-05-29 20:28:00,2127.78,1788.88,338.89,0,0,AUTO,1
LN20250331000001,1,\N,2025-04-26 12:39:00,412.31,310.76,101.55,0,0,AUTO,1
LN20250331000001,2,\N,2025-05-28 12:12:00,412.31,315.68,96.63,0,0,AUTO,1
LN20250331000001,3,\N,2025-06-28 16:05:00,412.31,320.67,91.64,0,0,AUTO,1
LN20250417000001,1,\N,2025-05-13 20:01:00,1025.33,675.33,350.00,0,0,MANUAL,1
LN20250417000001,2,\N,2025-06-11 19:17:00,1025.33,683.21,342.12,0,0,AUTO,1
LN20250411000001,1,\N,2025-05-11 18:40:00,2665.46,2365.46,300.00,0,0,MANUAL,1
LN20250411000001,2,\N,2025-06-10 14:52:00,2665.46,2389.12,276.35,0,0,MANUAL,1
LN20250212000001,1,\N,2025-03-13 16:02:00,105.74,65.74,40.00,0,0,AUTO,1
LN20250212000001,2,\N,2025-04-09 17:35:00,105.74,67.06,38.69,0,0,AUTO,1
LN20250212000001,3,\N,2025-05-13 16:37:00,105.74,68.40,37.34,0,0,MANUAL,1
LN20250212000001,4,\N,2025-06-09 16:07:00,105.74,69.77,35.98,0,0,MANUAL,1
LN20250128000001,1,\N,2025-02-27 16:27:00,1360.96,1160.96,200.00,0,0,AUTO,1
LN20250128000001,2,\N,2025-03-29 20:32:00,1360.96,1176.44,184.52,0,0,AUTO,1
LN20250128000001,3,\N,2025-04-28 17:08:00,1360.96,1192.13,168.83,0,0,AUTO,1
LN20250128000001,4,\N,2025-05-21 19:41:00,11623.39,11470.45,152.94,0,0,MANUAL,1
LN20250214000001,1,\N,2025-03-16 14:48:00,1246.41,805.94,440.47,0,0,AUTO,1
LN20250214000001,2,\N,2025-04-11 13:34:00,1246.41,820.72,425.70,0,0,AUTO,1
LN20250214000001,3,\N,2025-05-15 17:48:00,1246.41,835.76,410.65,0,0,MANUAL,1
LN20250214000001,4,\N,2025-06-12 15:13:00,1246.41,851.08,395.33,0,0,AUTO,1
LN20250207000001,1,\N,2025-03-05 10:52:00,148.67,82.00,66.68,0,0,MANUAL,1
LN20250207000001,2,\N,2025-04-05 11:34:00,148.67,83.37,65.31,0,0,MANUAL,1
LN20250207000001,3,\N,2025-05-07 17:01:00,148.67,84.75,63.92,0,0,AUTO,1
LN20250207000001,4,\N,2025-06-06 13:23:00,148.67,86.17,62.51,0,0,AUTO,1
LN20250304000002,1,\N,2025-03-30 16:08:00,932.16,748.82,183.33,0,0,MANUAL,1
LN20250304000002,2,\N,2025-05-02 13:49:00,932.16,755.69,176.47,0,0,MANUAL,1
LN20250304000002,3,\N,2025-05-29 12:42:00,932.16,762.61,169.54,0,0,MANUAL,1
LN20250120000001,1,\N,2025-02-16 15:22:00,88.85,78.85,10.00,0,0,AUTO,1
LN20250120000001,2,\N,2025-03-20 11:28:00,88.85,79.64,9.21,0,0,MANUAL,1
LN20250120000001,3,\N,2025-04-20 18:39:00,88.85,80.43,8.42,0,0,MANUAL,1
LN20250120000001,4,\N,2025-05-18 13:20:00,88.85,81.24,7.61,0,0,AUTO,1
LN20250120000001,5,\N,2025-06-18 10:07:00,88.85,82.05,6.80,0,0,AUTO,1
LN20250203000001,1,\N,2025-03-04 20:28:00,4374.18,3768.39,605.79,0,0,MANUAL,1
LN20250203000001,2,\N,2025-04-04 19:49:00,4374.18,3815.50,558.68,0,0,MANUAL,1
LN20250203000001,3,\N,2025-05-04 19:24:00,4374.18,3863.19,510.99,0,0,AUTO,1
LN20250203000001,4,\N,2025-06-02 17:33:00,4374.18,3911.48,462.70,0,0,AUTO,1
LN20250304000003,1,\N,2025-04-02 14:55:00,4059.41,3640.18,419.23,0,0,AUTO,1
LN20250304000003,2,\N,2025-05-03 11:37:00,4059.41,3706.92,352.49,0,0,AUTO,1
LN20250304000003,3,\N,2025-06-02 13:48:00,4059.41,3774.88,284.53,0,0,MANUAL,1
LN20250210000001,1,\N,2025-03-09 14:23:00,8383.86,7978.26,405.60,0,0,AUTO,1
LN20250210000001,2,\N,2025-04-06 09:06:00,8383.86,8111.23,272.63,0,0,MANUAL,1
LN20250210000001,3,\N,2025-05-10 13:01:00,8383.86,8246.42,137.44,0,0,MANUAL,1
LN20250526000002,1,\N,2025-06-25 10:28:00,494.42,352.76,141.67,0,0,AUTO,1
LN20250531000001,1,\N,2025-06-26 16:27:00,1950.17,1536.49,413.68,0,0,MANUAL,1
LN20250301000001,1,\N,2025-03-31 10:34:00,350.05,321.72,28.33,0,0,AUTO,1
LN20250301000001,2,\N,2025-04-30 12:51:00,350.05,326.28,23.78,0,0,AUTO,1
LN20250301000001,3,\N,2025-05-29 16:12:00,1371.15,1352.00,19.15,0,0,MANUAL,1
LN20250130000001,1,\N,2025-02-27 19:21:00,645.34,478.68,166.67,0,0,AUTO,1
LN20250130000001,2,\N,2025-03-30 15:51:00,645.34,482.67,162.68,0,0,MANUAL,1
LN20250130000001,3,\N,2025-04-28 17:51:00,645.34,486.69,158.66,0,0,MANUAL,1
LN20250130000001,4,\N,2025-05-26 19:21:00,645.34,490.74,154.60,0,0,MANUAL,1
LN20250130000001,5,\N,2025-06-26 20:30:00,645.34,494.83,150.51,0,0,AUTO,1
LN20250424000001,1,\N,2025-05-23 17:38:00,1439.73,1221.66,218.07,0,0,MANUAL,1
LN20250424000001,2,\N,2025-06-23 12:14:00,1439.73,1232.86,206.88,0,0,MANUAL,1
LN20250413000001,1,\N,2025-05-08 17:09:00,343.38,328.38,15.00,0,0,MANUAL,1
