loan_id,customer_id,open_date,close_date,stage_entered,priority,outstanding_amount,status,assignee,is_test_data
LN20250213000001,C00004906,2025-03-16,2025-06-30,M3+,1,73.31,CLOSED_BAD,E00015,1
LN20250221000001,C00008409,2025-03-24,2025-06-30,M3+,1,2569.16,CLOSED_BAD,E00013,1
LN20250217000002,C00009060,2025-03-20,2025-06-30,M3+,1,1765.23,CLOSED_BAD,E00015,1
LN20250512000001,C00009470,2025-06-12,\N,M1,3,330.09,OPEN,E00019,1
LN20250425000002,C00001806,2025-05-26,\N,M2,2,125.78,OPEN,E00026,1
LN20250513000002,C00008088,2025-06-13,\N,M1,3,90.73,OPEN,E00016,1
LN20250213000003,C00008931,2025-05-15,2025-05-31,M1,3,399.39,CLOSED_PAID,E00030,1
LN20250225000002,C00008850,2025-05-27,2025-06-17,M1,3,7615.11,CLOSED_PAID,E00021,1
LN20250201000003,C00000056,2025-05-03,2025-05-26,M1,3,691.26,CLOSED_PAID,E00028,1
LN20250219000002,C00009217,2025-04-21,2025-05-10,M1,3,6296.57,CLOSED_PAID,E00005,1
LN20250407000003,C00007210,2025-06-07,2025-06-25,M1,3,1201.15,CLOSED_PAID,E00021,1
LN20250415000001,C00005777,2025-05-16,\N,M2,2,10218.74,OPEN,E00025,1
LN20250309000007,C00009486,2025-04-09,2025-06-30,M3,1,287.24,CLOSED_BAD,E00019,1
LN20250520000002,C00003334,2025-06-20,\N,M1,3,129.53,OPEN,E00004,1
LN20250304000008,C00003852,2025-06-03,\N,M1,3,178.02,OPEN,E00014,1
LN20250310000008,C00004752,2025-04-10,2025-06-30,M3,1,1304.90,CLOSED_BAD,E00001,1
LN20250308000004,C00009490,2025-06-07,2025-06-28,M1,3,185.27,CLOSED_PAID,E00025,1
LN20250405000004,C00009809,2025-05-06,\N,M2,2,907.31,OPEN,E00020,1
LN20250304000010,C00008784,2025-06-03,2025-06-24,M1,3,1805.17,CLOSED_PAID,E00013,1
LN20250408000003,C00006819,2025-06-08,2025-06-24,M1,3,2646.96,CLOSED_PAID,E00003,1
LN20250312000008,C00005002,2025-06-11,2025-06-28,M1,3,1770.23,CLOSED_PAID,E00019,1
LN20250321000007,C00000904,2025-05-21,2025-06-05,M1,3,384.10,CLOSED_PAID,E00021,1
LN20250227000009,C00000500,2025-04-29,2025-05-21,M1,3,3324.34,CLOSED_PAID,E00020,1
LN20250205000004,C00002970,2025-03-08,2025-06-30,M3+,1,736.35,CLOSED_BAD,E00024,1
LN20250304000014,C00002066,2025-06-03,2025-06-17,M1,3,941.47,CLOSED_PAID,E00012,1
LN20250321000009,C00007788,2025-05-21,2025-06-12,M1,3,3428.22,CLOSED_PAID,E00024,1
LN20250317000009,C00006978,2025-05-17,2025-06-06,M1,3,594.16,CLOSED_PAID,E00030,1
LN20250411000007,C00004171,2025-06-11,2025-06-27,M1,3,1113.42,CLOSED_PAID,E00015,1
LN20250316000005,C00004171,2025-06-15,\N,M1,3,418.50,OPEN,E00022,1
LN20250430000007,C00007731,2025-06-30,\N,M1,3,2153.84,OPEN,E00003,1
LN20250219000008,C00003040,2025-06-20,\N,M1,3,484.87,OPEN,E00025,1
LN20250309000009,C00009207,2025-05-09,\N,M2,2,1805.17,OPEN,E00021,1
LN20250517000010,C00003483,2025-06-17,\N,M1,3,14916.36,OPEN,E00017,1
LN20250210000005,C00006931,2025-04-12,2025-05-02,M1,3,2581.37,CLOSED_PAID,E00015,1
LN20250214000017,C00004104,2025-03-17,2025-06-30,M3+,1,244.82,CLOSED_BAD,E00001,1
LN20250215000017,C00000072,2025-03-18,2025-06-30,M3+,1,246.06,CLOSED_BAD,E00002,1
LN20250313000010,C00003966,2025-05-13,2025-06-01,M1,3,346.19,CLOSED_PAID,E00003,1
LN20250527000006,C00006163,2025-06-27,\N,M1,3,465.57,OPEN,E00017,1
LN20250217000010,C00006353,2025-05-19,\N,M2,2,3450.67,OPEN,E00015,1
LN20250222000013,C00000672,2025-03-25,2025-06-30,M3+,1,1281.29,CLOSED_BAD,E00017,1
LN20250218000013,C00002294,2025-05-20,2025-06-04,M1,3,960.98,CLOSED_PAID,E00019,1
LN20250213000013,C00009984,2025-03-16,2025-06-30,M3+,1,948.43,CLOSED_BAD,E00009,1
LN20250214000018,C00008055,2025-05-16,\N,M2,2,1076.00,OPEN,E00007,1
LN20250214000019,C00000234,2025-06-15,\N,M1,3,1549.33,OPEN,E00011,1
LN20250331000006,C00006693,2025-06-30,\N,M1,3,5029.10,OPEN,E00009,1
LN20250427000007,C00006411,2025-05-28,\N,M2,2,4281.08,OPEN,E00018,1
LN20250513000009,C00000785,2025-06-13,\N,M1,3,971.51,OPEN,E00017,1
LN20250219000012,C00007262,2025-06-20,\N,M1,3,2508.45,OPEN,E00017,1
LN20250321000014,C00007268,2025-06-20,\N,M1,3,1829.10,OPEN,E00027,1
LN20250218000014,C00002343,2025-05-20,2025-06-07,M1,3,1198.99,CLOSED_PAID,E00001,1
LN20250113000002,C00008535,2025-03-15,2025-04-06,M1,3,252.19,CLOSED_PAID,E00028,1
LN20250524000008,C00009764,2025-06-24,\N,M1,3,2742.58,OPEN,E00001,1
LN20250315000007,C00002997,2025-05-15,2025-06-08,M1,3,2136.94,CLOSED_PAID,E00014,1
LN20250303000014,C00007041,2025-06-02,\N,M1,3,146.73,OPEN,E00008,1
LN20250225000013,C00000930,2025-04-27,2025-05-16,M1,3,1018.34,CLOSED_PAID,E00014,1
LN20250413000006,C00007625,2025-06-13,\N,M1,3,1268.95,OPEN,E00029,1
LN20250309000013,C00002591,2025-05-09,\N,M2,2,1381.24,OPEN,E00012,1
LN20250302000012,C00005432,2025-06-01,\N,M2,2,176.76,OPEN,E00017,1
LN20250225000014,C00004410,2025-05-27,2025-06-18,M1,3,1820.51,CLOSED_PAID,E00022,1
LN20250222000016,C00002012,2025-04-24,2025-05-17,M1,3,94.56,CLOSED_PAID,E00011,1
LN20250321000017,C00007093,2025-06-20,\N,M1,3,1377.26,OPEN,E00016,1
LN20250219000015,C00006292,2025-05-21,2025-06-06,M1,3,1768.05,CLOSED_PAID,E00021,1
LN20250318000014,C00003142,2025-06-17,\N,M1,3,2738.09,OPEN,E00028,1
LN20250202000005,C00004651,2025-04-04,2025-06-30,M3,1,61.45,CLOSED_BAD,E00021,1
