loan_id,partner_code,guarantee_amount,guarantee_fee_rate,claim_status,claim_amount,is_test_data
LN20250304000003,GTE_A,22866.95,0.03,NORMAL,0,1
LN20250130000001,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250413000001,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250430000001,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250413000002,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250313000001,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250311000002,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250317000001,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250615000001,GTE_A,12773.49,0.03,NORMAL,0,1
LN20250529000001,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250216000002,GTE_A,907.31,0.03,NORMAL,0,1
LN20250409000001,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250213000002,GTE_A,50000.00,0.03,NORMAL,0,1
LN20250228000002,GTE_A,8566.21,0.03,NORMAL,0,1
LN20250324000003,GTE_A,30000.00,0.03,NORMAL,0,1
LN20250215000005,GTE_A,20935.84,0.03,NORMAL,0,1
LN20250630000002,GTE_A,23334.45,0.03,NORMAL,0,1
LN20250220000002,GTE_A,8633.32,0.03,NORMAL,0,1
LN20250130000002,GTE_A,12547.34,0.03,NORMAL,0,1
LN20250129000002,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250504000002,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250309000005,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250228000006,GTE_A,45410.45,0.03,NORMAL,0,1
LN20250514000003,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250610000002,GTE_A,98749.31,0.03,NORMAL,0,1
LN20250318000003,GTE_A,46291.43,0.03,NORMAL,0,1
LN20250311000003,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250522000001,GTE_A,26863.47,0.03,NORMAL,0,1
LN20250423000001,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250504000003,GTE_A,3773.36,0.03,NORMAL,0,1
LN20250619000002,GTE_A,13069.43,0.03,NORMAL,0,1
LN20250215000007,GTE_A,26727.93,0.03,NORMAL,0,1
LN20250219000003,GTE_A,23278.96,0.03,NORMAL,0,1
LN20250224000006,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250306000006,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250531000004,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250306000007,GTE_A,27094.08,0.03,NORMAL,0,1
LN20250302000003,GTE_A,77193.05,0.03,NORMAL,0,1
LN20250321000004,GTE_A,28285.66,0.03,NORMAL,0,1
