loan_id,partner_code,agreement_id,funding_amount,funding_ratio,created_at,is_test_data
LN20250526000001,BANK_C,FABANK_C_JOINT_LOAN,600.00,0.6,2025-05-26 12:36:33,1
LN20250629000001,BANK_B,FABANK_B_PLATFORM_LOAN,52017.65,0.7,2025-06-29 13:20:16,1
LN20250601000001,BANK_C,FABANK_C_JOINT_LOAN,600.00,0.6,2025-06-01 12:51:51,1
LN20250603000001,BANK_C,FABANK_C_JOINT_LOAN,12000.00,0.6,2025-06-03 18:38:17,1
LN20250604000001,BANK_B,FABANK_B_PLATFORM_LOAN,7000.00,0.7,2025-06-04 13:26:59,1
LN20250621000001,BANK_B,FABANK_B_PLATFORM_LOAN,21000.00,0.7,2025-06-21 12:27:34,1
LN20250215000001,BANK_C,FABANK_C_JOINT_LOAN,4800.00,0.6,2025-02-15 14:19:34,1
LN20250124000001,BANK_B,FABANK_B_PLATFORM_LOAN,1400.00,0.7,2025-01-24 09:59:03,1
LN20250218000001,BANK_B,FABANK_B_PLATFORM_LOAN,21000.00,0.7,2025-02-18 21:10:34,1
LN20250331000001,BANK_B,FABANK_B_PLATFORM_LOAN,4489.75,0.7,2025-03-31 20:01:53,1
LN20250417000001,BANK_C,FABANK_C_JOINT_LOAN,18000.00,0.6,2025-04-17 13:49:00,1
LN20250625000001,BANK_C,FABANK_C_JOINT_LOAN,18000.00,0.6,2025-06-25 13:27:51,1
LN20250212000001,BANK_C,FABANK_C_JOINT_LOAN,1200.00,0.6,2025-02-12 12:44:44,1
LN20250214000001,BANK_B,FABANK_B_PLATFORM_LOAN,16818.03,0.7,2025-02-14 22:41:42,1
LN20250213000001,BANK_C,FABANK_C_JOINT_LOAN,1200.00,0.6,2025-02-13 11:19:40,1
LN20250207000001,BANK_C,FABANK_C_JOINT_LOAN,2400.32,0.6,2025-02-07 20:39:52,1
LN20250120000001,BANK_C,FABANK_C_JOINT_LOAN,600.00,0.6,2025-01-20 22:58:15,1
LN20250203000001,BANK_B,FABANK_B_PLATFORM_LOAN,33924.03,0.7,2025-02-03 12:42:17,1
LN20250210000001,BANK_B,FABANK_B_PLATFORM_LOAN,17035.14,0.7,2025-02-10 12:50:46,1
LN20250531000001,BANK_C,FABANK_C_JOINT_LOAN,18615.43,0.6,2025-05-31 18:13:12,1
LN20250301000001,BANK_C,FABANK_C_JOINT_LOAN,1200.00,0.6,2025-03-01 11:25:37,1
LN20250504000001,BANK_B,FABANK_B_PLATFORM_LOAN,5710.95,0.7,2025-05-04 20:05:09,1
LN20250417000002,BANK_C,FABANK_C_JOINT_LOAN,4908.61,0.6,2025-04-17 13:44:52,1
LN20250221000001,BANK_B,FABANK_B_PLATFORM_LOAN,52619.50,0.7,2025-02-21 21:06:13,1
