loan_id,partner_code,period_no,settle_date,partner_income,self_income,is_test_data
LN20250526000001,BANK_C,1,2025-06-25,5.96,4.88,1
LN20250215000001,BANK_C,1,2025-03-17,40.33,33.00,1
LN20250215000001,BANK_C,2,2025-04-16,33.76,27.62,1
LN20250215000001,BANK_C,3,2025-05-16,27.13,22.20,1
LN20250215000001,BANK_C,4,2025-06-15,20.44,16.73,1
LN20250124000001,BANK_B,1,2025-02-23,12.50,12.50,1
LN20250124000001,BANK_B,2,2025-03-25,8.38,8.38,1
LN20250124000001,BANK_B,3,2025-04-24,4.22,4.22,1
LN20250218000001,BANK_B,1,2025-03-20,175.00,175.00,1
LN20250218000001,BANK_B,2,2025-04-19,117.34,117.34,1
LN20250218000001,BANK_B,3,2025-05-19,59.01,59.01,1
LN20250331000001,BANK_B,1,2025-04-30,50.78,50.78,1
LN20250331000001,BANK_B,2,2025-05-30,48.32,48.32,1
LN20250331000001,BANK_B,3,2025-06-29,45.82,45.82,1
LN20250417000001,BANK_C,1,2025-05-17,192.50,157.50,1
LN20250417000001,BANK_C,2,2025-06-16,188.17,153.95,1
LN20250212000001,BANK_C,1,2025-03-14,22.00,18.00,1
LN20250212000001,BANK_C,2,2025-04-13,21.28,17.41,1
LN20250212000001,BANK_C,3,2025-05-13,20.54,16.80,1
LN20250212000001,BANK_C,4,2025-06-12,19.79,16.19,1
LN20250214000001,BANK_B,1,2025-03-16,220.24,220.24,1
LN20250214000001,BANK_B,2,2025-04-15,212.85,212.85,1
LN20250214000001,BANK_B,3,2025-05-15,205.33,205.33,1
LN20250214000001,BANK_B,4,2025-06-14,197.66,197.66,1
LN20250213000001,BANK_C,1,2025-03-15,17.42,14.25,1
LN20250213000001,BANK_C,2,2025-04-14,17.05,13.95,1
LN20250213000001,BANK_C,3,2025-05-14,16.69,13.65,1
LN20250213000001,BANK_C,4,2025-06-13,16.31,13.35,1
LN20250207000001,BANK_C,1,2025-03-09,36.67,30.00,1
LN20250207000001,BANK_C,2,2025-04-08,35.92,29.39,1
LN20250207000001,BANK_C,3,2025-05-08,35.16,28.76,1
LN20250207000001,BANK_C,4,2025-06-07,34.38,28.13,1
LN20250120000001,BANK_C,1,2025-02-19,5.50,4.50,1
LN20250120000001,BANK_C,2,2025-03-21,5.07,4.15,1
LN20250120000001,BANK_C,3,2025-04-20,4.63,3.79,1
LN20250120000001,BANK_C,4,2025-05-20,4.19,3.42,1
LN20250120000001,BANK_C,5,2025-06-19,3.74,3.06,1
LN20250203000001,BANK_B,1,2025-03-05,302.89,302.89,1
LN20250203000001,BANK_B,2,2025-04-04,279.34,279.34,1
LN20250203000001,BANK_B,3,2025-05-04,255.49,255.49,1
LN20250203000001,BANK_B,4,2025-06-03,231.35,231.35,1
LN20250304000003,GTE_A,1,2025-04-03,167.69,251.54,1
LN20250304000003,GTE_A,2,2025-05-03,141.00,211.49,1
LN20250304000003,GTE_A,3,2025-06-02,113.81,170.72,1
LN20250210000001,BANK_B,1,2025-03-12,202.80,202.80,1
LN20250210000001,BANK_B,2,2025-04-11,136.31,136.31,1
LN20250210000001,BANK_B,3,2025-05-11,68.72,68.72,1
LN20250531000001,BANK_C,1,2025-06-30,227.52,186.15,1
LN20250301000001,BANK_C,1,2025-03-31,15.58,12.75,1
LN20250301000001,BANK_C,2,2025-04-30,13.08,10.70,1
LN20250301000001,BANK_C,3,2025-05-30,10.53,8.62,1
LN20250301000001,BANK_C,4,2025-06-29,7.96,6.51,1
LN20250130000001,GTE_A,1,2025-03-01,66.67,100.00,1
LN20250130000001,GTE_A,2,2025-03-31,65.07,97.61,1
LN20250130000001,GTE_A,3,2025-04-30,63.46,95.19,1
LN20250130000001,GTE_A,4,2025-05-30,61.84,92.76,1
LN20250130000001,GTE_A,5,2025-06-29,60.20,90.31,1
LN20250413000001,GTE_A,1,2025-05-13,6.00,9.00,1
LN20250413000001,GTE_A,2,2025-06-12,4.03,6.04,1
LN20250504000001,BANK_B,1,2025-06-03,78.19,78.19,1
LN20250417000002,BANK_C,1,2025-05-17,82.49,67.49,1
LN20250417000002,BANK_C,2,2025-06-16,78.58,64.29,1
LN20250430000001,GTE_A,1,2025-05-30,50.67,76.00,1
LN20250430000001,GTE_A,2,2025-06-29,49.61,74.42,1
LN20250221000001,BANK_B,1,2025-03-23,438.50,438.50,1
LN20250221000001,BANK_B,2,2025-04-22,428.62,428.62,1
LN20250221000001,BANK_B,3,2025-05-22,418.64,418.64,1
LN20250221000001,BANK_B,4,2025-06-21,408.54,408.54,1
LN20250227000002,BANK_B,1,2025-03-29,226.40,226.40,1
LN20250227000002,BANK_B,2,2025-04-28,208.96,208.96,1
LN20250227000002,BANK_B,3,2025-05-28,191.27,191.27,1
LN20250227000002,BANK_B,4,2025-06-27,173.33,173.33,1
LN20250507000001,BANK_B,1,2025-06-06,39.58,39.58,1
LN20250327000001,BANK_C,1,2025-04-26,11.92,9.75,1
LN20250327000001,BANK_C,2,2025-05-26,11.31,9.26,1
LN20250327000001,BANK_C,3,2025-06-25,10.70,8.76,1
LN20250516000001,BANK_B,1,2025-06-15,8.11,8.11,1
LN20250304000004,BANK_B,1,2025-04-03,37.13,37.13,1
LN20250304000004,BANK_B,2,2025-05-03,34.36,34.36,1
LN20250304000004,BANK_B,3,2025-06-02,31.54,31.54,1
LN20250209000002,BANK_B,1,2025-03-11,62.08,62.08,1
LN20250209000002,BANK_B,2,2025-04-10,60.84,60.84,1
LN20250209000002,BANK_B,3,2025-05-10,59.59,59.59,1
LN20250209000002,BANK_B,4,2025-06-09,58.31,58.31,1
LN20250407000001,BANK_C,1,2025-05-07,214.19,175.25,1
LN20250407000001,BANK_C,2,2025-06-06,209.73,171.60,1
LN20250429000001,BANK_B,1,2025-05-29,43.75,43.75,1
LN20250429000001,BANK_B,2,2025-06-28,29.42,29.42,1
LN20250309000001,BANK_B,1,2025-04-08,204.90,204.90,1
LN20250309000001,BANK_B,2,2025-05-08,189.48,189.48,1
LN20250309000001,BANK_B,3,2025-06-07,173.77,173.77,1
LN20250222000001,BANK_C,1,2025-03-24,275.00,225.00,1
LN20250222000001,BANK_C,2,2025-04-23,268.62,219.78,1
LN20250222000001,BANK_C,3,2025-05-23,262.17,214.50,1
LN20250222000001,BANK_C,4,2025-06-22,255.66,209.17,1
LN20250125000001,BANK_C,1,2025-02-24,6.42,5.25,1
LN20250125000001,BANK_C,2,2025-03-26,6.27,5.13,1
LN20250125000001,BANK_C,3,2025-04-25,6.13,5.01,1
LN20250125000001,BANK_C,4,2025-05-25,5.98,4.89,1
LN20250125000001,BANK_C,5,2025-06-24,5.83,4.77,1
LN20250115000001,BANK_C,1,2025-02-14,214.66,175.63,1
LN20250115000001,BANK_C,2,2025-03-16,144.35,118.10,1
LN20250115000001,BANK_C,3,2025-04-15,72.80,59.56,1
LN20250128000002,BANK_C,1,2025-02-27,267.48,218.85,1
LN20250128000002,BANK_C,2,2025-03-29,254.71,208.40,1
LN20250128000002,BANK_C,3,2025-04-28,241.72,197.77,1
LN20250128000002,BANK_C,4,2025-05-28,228.49,186.95,1
LN20250128000002,BANK_C,5,2025-06-27,215.04,175.94,1
LN20250516000002,BANK_B,1,2025-06-15,226.09,226.09,1
LN20250311000001,BANK_C,1,2025-04-10,137.50,112.50,1
LN20250311000001,BANK_C,2,2025-05-10,127.05,103.95,1
LN20250311000001,BANK_C,3,2025-06-09,116.43,95.26,1
LN20250413000002,GTE_A,1,2025-05-13,8.00,12.00,1
LN20250413000002,GTE_A,2,2025-06-12,7.63,11.44,1
LN20250214000002,BANK_B,1,2025-03-16,300.27,300.27,1
LN20250214000002,BANK_B,2,2025-04-15,276.92,276.92,1
LN20250214000002,BANK_B,3,2025-05-15,253.28,253.28,1
LN20250214000002,BANK_B,4,2025-06-14,229.34,229.34,1
LN20250217000001,BANK_B,1,2025-03-19,225.40,225.40,1
LN20250217000001,BANK_B,2,2025-04-18,189.44,189.44,1
LN20250217000001,BANK_B,3,2025-05-18,152.86,152.86,1
LN20250217000001,BANK_B,4,2025-06-17,115.63,115.63,1
LN20250217000002,BANK_B,1,2025-03-19,83.33,83.33,1
LN20250217000002,BANK_B,2,2025-04-18,70.01,70.01,1
LN20250217000002,BANK_B,3,2025-05-18,56.47,56.47,1
LN20250217000002,BANK_B,4,2025-06-17,42.70,42.70,1
LN20250310000001,BANK_B,1,2025-04-09,235.54,235.54,1
LN20250310000001,BANK_B,2,2025-05-09,224.29,224.29,1
LN20250310000001,BANK_B,3,2025-06-08,212.85,212.85,1
LN20250323000001,BANK_B,1,2025-04-22,291.19,291.19,1
LN20250323000001,BANK_B,2,2025-05-22,284.83,284.83,1
LN20250323000001,BANK_B,3,2025-06-21,278.39,278.39,1
LN20250209000003,BANK_C,1,2025-03-11,12.83,10.50,1
LN20250209000003,BANK_C,2,2025-04-10,12.37,10.12,1
LN20250209000003,BANK_C,3,2025-05-10,11.90,9.73,1
LN20250209000003,BANK_C,4,2025-06-09,11.42,9.34,1
LN20250505000001,BANK_C,1,2025-06-04,419.03,342.84,1
LN20250514000001,BANK_C,1,2025-06-13,77.92,63.75,1
LN20250313000001,GTE_A,1,2025-04-12,85.00,127.50,1
LN20250313000001,GTE_A,2,2025-05-12,71.33,106.99,1
LN20250313000001,GTE_A,3,2025-06-11,57.46,86.19,1
LN20250328000001,BANK_B,1,2025-04-27,72.61,72.61,1
LN20250328000001,BANK_B,2,2025-05-27,71.17,71.17,1
LN20250328000001,BANK_B,3,2025-06-26,69.70,69.70,1
LN20250311000002,GTE_A,1,2025-04-10,31.67,47.50,1
LN20250311000002,GTE_A,2,2025-05-10,30.57,45.86,1
LN20250311000002,GTE_A,3,2025-06-09,29.46,44.19,1
LN20250326000001,BANK_B,1,2025-04-25,80.00,80.00,1
LN20250326000001,BANK_B,2,2025-05-25,53.86,53.86,1
LN20250326000001,BANK_B,3,2025-06-24,27.20,27.20,1
LN20250317000001,GTE_A,1,2025-04-16,100.00,150.00,1
LN20250317000001,GTE_A,2,2025-05-16,92.40,138.60,1
LN20250317000001,GTE_A,3,2025-06-15,84.68,127.02,1
LN20250201000001,BANK_B,1,2025-03-03,7.08,7.08,1
