biz_date,loan_id,fee_type,amount,is_test_data
2025-06-25,LN20250526000001,SERVICE_FEE,5.00,1
2025-06-18,LN20250519000001,SERVICE_FEE,509.11,1
2025-03-06,LN20250204000001,SERVICE_FEE,40.00,1
2025-03-17,LN20250215000001,SERVICE_FEE,40.00,1
2025-02-23,LN20250124000001,SERVICE_FEE,20.00,1
2025-03-20,LN20250218000001,SERVICE_FEE,300.00,1
2025-04-03,LN20250304000001,SERVICE_FEE,457.03,1
2025-04-30,LN20250331000001,SERVICE_FEE,64.14,1
2025-05-17,LN20250417000001,SERVICE_FEE,150.00,1
2025-05-11,LN20250411000001,SERVICE_FEE,600.00,1
2025-03-14,LN20250212000001,SERVICE_FEE,10.00,1
2025-02-27,LN20250128000001,SERVICE_FEE,300.00,1
2025-03-16,LN20250214000001,SERVICE_FEE,240.26,1
2025-03-15,LN20250213000001,SERVICE_FEE,10.00,1
2025-03-09,LN20250207000001,SERVICE_FEE,20.00,1
2025-04-03,LN20250304000002,SERVICE_FEE,400.00,1
2025-02-19,LN20250120000001,SERVICE_FEE,5.00,1
2025-03-05,LN20250203000001,SERVICE_FEE,484.63,1
2025-04-03,LN20250304000003,SERVICE_FEE,686.01,1
2025-03-12,LN20250210000001,SERVICE_FEE,243.36,1
2025-06-25,LN20250526000002,SERVICE_FEE,200.00,1
2025-06-30,LN20250531000001,SERVICE_FEE,155.13,1
2025-03-31,LN20250301000001,SERVICE_FEE,10.00,1
2025-03-01,LN20250130000001,SERVICE_FEE,600.00,1
2025-05-24,LN20250424000001,SERVICE_FEE,475.80,1
2025-05-13,LN20250413000001,SERVICE_FEE,30.00,1
2025-05-25,LN20250425000001,SERVICE_FEE,146.33,1
2025-06-03,LN20250504000001,SERVICE_FEE,81.59,1
2025-05-17,LN20250417000002,SERVICE_FEE,40.91,1
2025-05-30,LN20250430000001,SERVICE_FEE,240.00,1
2025-03-11,LN20250209000001,SERVICE_FEE,405.49,1
2025-03-18,LN20250216000001,SERVICE_FEE,100.00,1
2025-03-29,LN20250227000001,SERVICE_FEE,83.33,1
2025-03-23,LN20250221000001,SERVICE_FEE,751.71,1
2025-03-29,LN20250227000002,SERVICE_FEE,319.62,1
2025-06-10,LN20250511000001,SERVICE_FEE,40.00,1
2025-06-12,LN20250513000001,SERVICE_FEE,160.00,1
2025-06-06,LN20250507000001,SERVICE_FEE,50.00,1
2025-04-17,LN20250318000001,SERVICE_FEE,40.00,1
2025-04-26,LN20250327000001,SERVICE_FEE,10.00,1
2025-06-15,LN20250516000001,SERVICE_FEE,8.84,1
2025-04-03,LN20250304000004,SERVICE_FEE,37.13,1
2025-03-11,LN20250209000002,SERVICE_FEE,67.72,1
2025-05-07,LN20250407000001,SERVICE_FEE,122.98,1
2025-05-29,LN20250429000001,SERVICE_FEE,50.00,1
2025-04-08,LN20250309000001,SERVICE_FEE,223.53,1
2025-04-26,LN20250327000002,SERVICE_FEE,200.00,1
2025-04-15,LN20250316000001,SERVICE_FEE,8.52,1
2025-03-25,LN20250223000001,SERVICE_FEE,600.00,1
2025-05-02,LN20250402000001,SERVICE_FEE,88.37,1
2025-03-24,LN20250222000001,SERVICE_FEE,250.00,1
2025-02-24,LN20250125000001,SERVICE_FEE,5.00,1
2025-02-14,LN20250115000001,SERVICE_FEE,111.51,1
2025-02-27,LN20250128000002,SERVICE_FEE,138.95,1
2025-06-15,LN20250516000002,SERVICE_FEE,258.39,1
2025-04-10,LN20250311000001,SERVICE_FEE,75.00,1
2025-05-13,LN20250413000002,SERVICE_FEE,30.00,1
2025-03-16,LN20250214000002,SERVICE_FEE,480.43,1
2025-03-19,LN20250217000001,SERVICE_FEE,257.60,1
2025-03-19,LN20250217000002,SERVICE_FEE,100.00,1
