biz_date,account_code,direction,amount,biz_ref_type,biz_ref_id,remark,posted_at,is_test_data
2025-05-26,1301,DR,1000.00,LOAN,LN20250526000001,放款-应收贷款,2025-05-26 12:36:33,1
2025-05-26,1002,CR,1000.00,LOAN,LN20250526000001,放款-银行存款,2025-05-26 12:36:33,1
2025-05-19,1301,DR,25455.70,LOAN,LN20250519000001,放款-应收贷款,2025-05-19 11:25:15,1
2025-05-19,1002,CR,25455.70,LOAN,LN20250519000001,放款-银行存款,2025-05-19 11:25:15,1
2025-06-29,1301,DR,74310.93,LOAN,LN20250629000001,放款-应收贷款,2025-06-29 13:20:16,1
2025-06-29,1002,CR,74310.93,LOAN,LN20250629000001,放款-银行存款,2025-06-29 13:20:16,1
2025-06-01,1301,DR,1000.00,LOAN,LN20250601000001,放款-应收贷款,2025-06-01 12:51:51,1
2025-06-01,1002,CR,1000.00,LOAN,LN20250601000001,放款-银行存款,2025-06-01 12:51:51,1
2025-06-03,1301,DR,20000.00,LOAN,LN20250603000001,放款-应收贷款,2025-06-03 18:38:17,1
2025-06-03,1002,CR,20000.00,LOAN,LN20250603000001,放款-银行存款,2025-06-03 18:38:17,1
2025-06-04,1301,DR,10000.00,LOAN,LN20250604000001,放款-应收贷款,2025-06-04 13:26:59,1
2025-06-04,1002,CR,10000.00,LOAN,LN20250604000001,放款-银行存款,2025-06-04 13:26:59,1
2025-06-21,1301,DR,30000.00,LOAN,LN20250621000001,放款-应收贷款,2025-06-21 12:27:34,1
2025-06-21,1002,CR,30000.00,LOAN,LN20250621000001,放款-银行存款,2025-06-21 12:27:34,1
2025-02-04,1301,DR,2000.00,LOAN,LN20250204000001,放款-应收贷款,2025-02-04 07:06:42,1
2025-02-04,1002,CR,2000.00,LOAN,LN20250204000001,放款-银行存款,2025-02-04 07:06:42,1
2025-02-15,1301,DR,8000.00,LOAN,LN20250215000001,放款-应收贷款,2025-02-15 14:19:34,1
2025-02-15,1002,CR,8000.00,LOAN,LN20250215000001,放款-银行存款,2025-02-15 14:19:34,1
2025-01-24,1301,DR,2000.00,LOAN,LN20250124000001,放款-应收贷款,2025-01-24 09:59:03,1
2025-01-24,1002,CR,2000.00,LOAN,LN20250124000001,放款-银行存款,2025-01-24 09:59:03,1
2025-02-18,1301,DR,30000.00,LOAN,LN20250218000001,放款-应收贷款,2025-02-18 21:10:34,1
