biz_date,loan_id,amount,is_test_data
2025-06-25,LN20250526000001,10.83,1
2025-06-18,LN20250519000001,424.26,1
2025-03-06,LN20250204000001,18.33,1
2025-04-05,LN20250204000001,17.65,1
2025-05-05,LN20250204000001,16.95,1
2025-06-04,LN20250204000001,16.26,1
2025-03-17,LN20250215000001,73.33,1
2025-04-16,LN20250215000001,61.39,1
2025-05-16,LN20250215000001,49.33,1
2025-06-15,LN20250215000001,37.17,1
2025-02-23,LN20250124000001,25.00,1
2025-03-25,LN20250124000001,16.77,1
2025-04-24,LN20250124000001,8.44,1
2025-03-20,LN20250218000001,350.00,1
2025-04-19,LN20250218000001,234.68,1
2025-05-19,LN20250218000001,118.02,1
2025-04-03,LN20250304000001,399.90,1
2025-05-03,LN20250304000001,369.66,1
2025-06-02,LN20250304000001,338.89,1
2025-04-30,LN20250331000001,101.55,1
2025-05-30,LN20250331000001,96.63,1
2025-06-29,LN20250331000001,91.64,1
2025-05-17,LN20250417000001,350.00,1
2025-06-16,LN20250417000001,342.12,1
2025-05-11,LN20250411000001,300.00,1
2025-06-10,LN20250411000001,276.35,1
2025-03-14,LN20250212000001,40.00,1
2025-04-13,LN20250212000001,38.69,1
2025-05-13,LN20250212000001,37.34,1
2025-06-12,LN20250212000001,35.98,1
2025-02-27,LN20250128000001,200.00,1
2025-03-29,LN20250128000001,184.52,1
2025-04-28,LN20250128000001,168.83,1
2025-05-28,LN20250128000001,152.94,1
2025-06-27,LN20250128000001,136.83,1
2025-03-16,LN20250214000001,440.47,1
2025-04-15,LN20250214000001,425.70,1
2025-05-15,LN20250214000001,410.65,1
2025-06-14,LN20250214000001,395.33,1
2025-03-15,LN20250213000001,31.67,1
2025-04-14,LN20250213000001,31.01,1
2025-05-14,LN20250213000001,30.34,1
2025-06-13,LN20250213000001,29.66,1
2025-03-09,LN20250207000001,66.68,1
2025-04-08,LN20250207000001,65.31,1
2025-05-08,LN20250207000001,63.92,1
2025-06-07,LN20250207000001,62.51,1
2025-04-03,LN20250304000002,183.33,1
2025-05-03,LN20250304000002,176.47,1
2025-06-02,LN20250304000002,169.54,1
2025-02-19,LN20250120000001,10.00,1
2025-03-21,LN20250120000001,9.21,1
