settle_date,settle_type,ref_id,amount,from_account,to_account,channel,status,is_test_data
2025-05-26,DISBURSE,LN20250526000001,1000.00,COMPANY_ACC,BANK_C,BANK,SUCCESS,1
2025-05-19,DISBURSE,LN20250519000001,25455.70,COMPANY_ACC,BANK_A,BANK,SUCCESS,1
2025-06-29,DISBURSE,LN20250629000001,74310.93,COMPANY_ACC,BANK_B,BANK,SUCCESS,1
2025-06-01,DISBURSE,LN20250601000001,1000.00,COMPANY_ACC,BANK_C,BANK,SUCCESS,1
2025-06-03,DISBURSE,LN20250603000001,20000.00,COMPANY_ACC,BANK_C,BANK,SUCCESS,1
2025-06-04,DISBURSE,LN20250604000001,10000.00,COMPANY_ACC,BANK_B,BANK,SUCCESS,1
2025-06-21,DISBURSE,LN20250621000001,30000.00,COMPANY_ACC,BANK_B,BANK,SUCCESS,1
2025-02-04,DISBURSE,LN20250204000001,2000.00,COMPANY_ACC,BANK_A,BANK,SUCCESS,1
2025-02-15,DISBURSE,LN20250215000001,8000.00,COMPANY_ACC,BANK_C,BANK,SUCCESS,1
2025-01-24,DISBURSE,LN20250124000001,2000.00,COMPANY_ACC,BANK_B,BANK,SUCCESS,1
2025-02-18,DISBURSE,LN20250218000001,30000.00,COMPANY_ACC,BANK_B,BANK,SUCCESS,1
2025-03-04,DISBURSE,LN20250304000001,22851.37,COMPANY_ACC,BANK_A,BANK,SUCCESS,1
2025-03-31,DISBURSE,LN20250331000001,6413.93,COMPANY_ACC,BANK_B,BANK,SUCCESS,1
2025-04-17,DISBURSE,LN20250417000001,30000.00,COMPANY_ACC,BANK_C,BANK,SUCCESS,1
2025-04-11,DISBURSE,LN20250411000001,30000.00,COMPANY_ACC,BANK_A,BANK,SUCCESS,1
2025-06-25,DISBURSE,LN20250625000001,30000.00,COMPANY_ACC,BANK_C,BANK,SUCCESS,1
2025-02-12,DISBURSE,LN20250212000001,2000.00,COMPANY_ACC,BANK_C,BANK,SUCCESS,1
2025-01-28,DISBURSE,LN20250128000001,15000.00,COMPANY_ACC,BANK_A,BANK,SUCCESS,1
2025-02-14,DISBURSE,LN20250214000001,24025.76,COMPANY_ACC,BANK_B,BANK,SUCCESS,1
2025-02-13,DISBURSE,LN20250213000001,2000.00,COMPANY_ACC,BANK_C,BANK,SUCCESS,1
2025-02-07,DISBURSE,LN20250207000001,4000.53,COMPANY_ACC,BANK_C,BANK,SUCCESS,1
2025-03-04,DISBURSE,LN20250304000002,20000.00,COMPANY_ACC,BANK_A,BANK,SUCCESS,1
2025-01-20,DISBURSE,LN20250120000001,1000.00,COMPANY_ACC,BANK_C,BANK,SUCCESS,1
