campaign_id,channel_code,cost_date,impression,click,cost,is_test_data
CAMP0001,BAIDU_SEM,2025-01-31,3910,88,265.25,1
CAMP0001,BAIDU_SEM,2025-02-01,24641,443,3254.51,1
CAMP0001,BAIDU_SEM,2025-02-02,3237,114,425.71,1
CAMP0001,BAIDU_SEM,2025-02-03,7855,86,617.91,1
CAMP0001,BAIDU_SEM,2025-02-04,21396,698,2250.21,1
CAMP0001,BAIDU_SEM,2025-02-05,22244,139,336.75,1
CAMP0001,BAIDU_SEM,2025-02-06,25920,434,1903.50,1
CAMP0001,BAIDU_SEM,2025-02-07,17763,823,3961.29,1
CAMP0001,BAIDU_SEM,2025-02-08,5797,137,879.83,1
CAMP0001,BAIDU_SEM,2025-02-09,27871,236,322.77,1
CAMP0001,BAIDU_SEM,2025-02-10,4079,188,1360.79,1
CAMP0001,BAIDU_SEM,2025-02-11,8019,389,627.02,1
CAMP0001,BAIDU_SEM,2025-02-12,28052,1377,2085.95,1
CAMP0001,BAIDU_SEM,2025-02-13,28679,474,3753.32,1
CAMP0001,BAIDU_SEM,2025-02-14,28480,388,563.53,1
CAMP0001,BAIDU_SEM,2025-02-15,25444,138,1087.16,1
CAMP0001,BAIDU_SEM,2025-02-16,10893,314,1575.53,1
CAMP0001,BAIDU_SEM,2025-02-17,10417,241,973.65,1
CAMP0001,BAIDU_SEM,2025-02-18,1877,40,271.94,1
CAMP0001,BAIDU_SEM,2025-02-19,27305,358,890.91,1
CAMP0001,BAIDU_SEM,2025-02-20,11216,538,1986.16,1
CAMP0001,BAIDU_SEM,2025-02-21,24836,553,2121.99,1
CAMP0001,BAIDU_SEM,2025-02-22,12873,230,1054.13,1
CAMP0001,BAIDU_SEM,2025-02-23,7371,98,452.08,1
CAMP0001,BAIDU_SEM,2025-02-24,5700,54,136.77,1
CAMP0001,BAIDU_SEM,2025-02-25,1247,44,220.43,1
CAMP0001,BAIDU_SEM,2025-02-26,3098,121,124.76,1
CAMP0001,BAIDU_SEM,2025-02-27,21677,310,2064.43,1
CAMP0001,BAIDU_SEM,2025-02-28,16146,784,3947.38,1
CAMP0001,BAIDU_SEM,2025-03-01,25966,1048,3262.27,1
CAMP0001,BAIDU_SEM,2025-03-02,18317,869,5160.28,1
CAMP0001,BAIDU_SEM,2025-03-03,16299,760,3742.65,1
CAMP0001,BAIDU_SEM,2025-03-04,28856,355,626.37,1
CAMP0001,BAIDU_SEM,2025-03-05,25620,637,1640.49,1
CAMP0001,BAIDU_SEM,2025-03-06,27371,168,353.81,1
CAMP0001,BAIDU_SEM,2025-03-07,6061,154,1040.17,1
CAMP0001,BAIDU_SEM,2025-03-08,2340,47,259.13,1
CAMP0001,BAIDU_SEM,2025-03-09,19846,358,1398.15,1
CAMP0001,BAIDU_SEM,2025-03-10,6516,323,1222.58,1
CAMP0001,BAIDU_SEM,2025-03-11,1286,57,386.84,1
CAMP0001,BAIDU_SEM,2025-03-12,25874,912,3549.41,1
CAMP0001,BAIDU_SEM,2025-03-13,4589,69,77.15,1
CAMP0001,BAIDU_SEM,2025-03-14,7588,149,680.41,1
CAMP0001,BAIDU_SEM,2025-03-15,16816,184,212.59,1
CAMP0001,BAIDU_SEM,2025-03-16,12076,253,417.34,1
CAMP0001,BAIDU_SEM,2025-03-17,8796,360,2787.96,1
CAMP0001,BAIDU_SEM,2025-03-18,7231,298,1575.65,1
CAMP0001,BAIDU_SEM,2025-03-19,13111,200,805.72,1
CAMP0001,BAIDU_SEM,2025-03-20,10123,142,473.60,1
CAMP0001,BAIDU_SEM,2025-03-21,25404,241,1081.73,1
CAMP0001,BAIDU_SEM,2025-03-22,26087,844,4104.16,1
CAMP0001,BAIDU_SEM,2025-03-23,17256,154,504.18,1
CAMP0001,BAIDU_SEM,2025-03-24,14609,474,3736.74,1
CAMP0001,BAIDU_SEM,2025-03-25,27161,1107,4562.56,1
CAMP0001,BAIDU_SEM,2025-03-26,22520,790,5048.17,1
CAMP0001,BAIDU_SEM,2025-03-27,24125,1071,1548.39,1
CAMP0001,BAIDU_SEM,2025-03-28,19901,956,1592.87,1
CAMP0001,BAIDU_SEM,2025-03-29,20953,209,627.05,1
CAMP0001,BAIDU_SEM,2025-03-30,19584,647,1146.43,1
CAMP0001,BAIDU_SEM,2025-03-31,3670,29,68.45,1
CAMP0001,BAIDU_SEM,2025-04-01,22897,956,6984.55,1
CAMP0001,BAIDU_SEM,2025-04-02,10943,523,1055.29,1
CAMP0001,BAIDU_SEM,2025-04-03,15974,787,921.20,1
CAMP0001,BAIDU_SEM,2025-04-04,13960,502,3279.95,1
CAMP0001,BAIDU_SEM,2025-04-05,7017,84,299.08,1
CAMP0001,BAIDU_SEM,2025-04-06,25486,1015,5368.81,1
CAMP0001,BAIDU_SEM,2025-04-07,2104,85,153.33,1
CAMP0001,BAIDU_SEM,2025-04-08,24119,381,3043.99,1
CAMP0001,BAIDU_SEM,2025-04-09,16015,142,161.30,1
CAMP0001,BAIDU_SEM,2025-04-10,24623,324,537.72,1
CAMP0001,BAIDU_SEM,2025-04-11,1683,29,43.80,1
CAMP0001,BAIDU_SEM,2025-04-12,12226,301,1527.67,1
CAMP0001,BAIDU_SEM,2025-04-13,26066,951,4877.39,1
CAMP0001,BAIDU_SEM,2025-04-14,19758,473,2977.92,1
CAMP0001,BAIDU_SEM,2025-04-15,24352,467,1101.09,1
CAMP0002,BAIDU_SEM,2025-01-17,26941,169,950.69,1
CAMP0002,BAIDU_SEM,2025-01-18,28196,203,634.51,1
CAMP0002,BAIDU_SEM,2025-01-19,12476,172,696.00,1
CAMP0002,BAIDU_SEM,2025-01-20,16061,83,513.60,1
CAMP0002,BAIDU_SEM,2025-01-21,21007,266,1464.31,1
CAMP0002,BAIDU_SEM,2025-01-22,17608,120,339.86,1
CAMP0002,BAIDU_SEM,2025-01-23,15792,616,4338.78,1
CAMP0002,BAIDU_SEM,2025-01-24,12197,61,358.46,1
CAMP0002,BAIDU_SEM,2025-01-25,6574,255,1312.26,1
CAMP0002,BAIDU_SEM,2025-01-26,28779,150,505.44,1
CAMP0002,BAIDU_SEM,2025-01-27,27579,1227,2456.02,1
CAMP0002,BAIDU_SEM,2025-01-28,11955,282,703.26,1
CAMP0002,BAIDU_SEM,2025-01-29,26255,379,620.86,1
CAMP0002,BAIDU_SEM,2025-01-30,14322,240,607.92,1
CAMP0002,BAIDU_SEM,2025-01-31,6865,212,1601.36,1
CAMP0002,BAIDU_SEM,2025-02-01,3403,135,627.40,1
CAMP0002,BAIDU_SEM,2025-02-02,22400,241,1723.62,1
CAMP0002,BAIDU_SEM,2025-02-03,21202,662,3253.77,1
CAMP0002,BAIDU_SEM,2025-02-04,4044,56,222.55,1
CAMP0002,BAIDU_SEM,2025-02-05,5781,179,602.45,1
CAMP0002,BAIDU_SEM,2025-02-06,19065,653,1448.89,1
CAMP0002,BAIDU_SEM,2025-02-07,16518,382,1619.15,1
CAMP0002,BAIDU_SEM,2025-02-08,20206,671,4276.52,1
CAMP0002,BAIDU_SEM,2025-02-09,19746,148,848.36,1
CAMP0002,BAIDU_SEM,2025-02-10,20551,843,2627.13,1
CAMP0002,BAIDU_SEM,2025-02-11,1196,28,50.52,1
CAMP0002,BAIDU_SEM,2025-02-12,9308,232,618.44,1
CAMP0002,BAIDU_SEM,2025-02-13,15472,557,2214.00,1
CAMP0002,BAIDU_SEM,2025-02-14,21207,522,1679.27,1
CAMP0002,BAIDU_SEM,2025-02-15,4573,48,354.56,1
CAMP0002,BAIDU_SEM,2025-02-16,7265,261,932.47,1
CAMP0002,BAIDU_SEM,2025-02-17,16901,767,4187.62,1
CAMP0002,BAIDU_SEM,2025-02-18,16539,261,2066.68,1
CAMP0002,BAIDU_SEM,2025-02-19,27417,362,709.85,1
CAMP0002,BAIDU_SEM,2025-02-20,5524,41,155.17,1
CAMP0002,BAIDU_SEM,2025-02-21,10377,341,1214.29,1
CAMP0002,BAIDU_SEM,2025-02-22,22739,561,3149.04,1
CAMP0002,BAIDU_SEM,2025-02-23,24109,361,2624.76,1
CAMP0002,BAIDU_SEM,2025-02-24,22850,1070,5728.99,1
CAMP0002,BAIDU_SEM,2025-02-25,24099,1066,7462.58,1
CAMP0002,BAIDU_SEM,2025-02-26,23463,140,341.67,1
CAMP0002,BAIDU_SEM,2025-02-27,19760,469,1132.48,1
CAMP0002,BAIDU_SEM,2025-02-28,20555,169,395.90,1
CAMP0002,BAIDU_SEM,2025-03-01,7111,71,224.32,1
CAMP0002,BAIDU_SEM,2025-03-02,23359,771,3852.95,1
CAMP0002,BAIDU_SEM,2025-03-03,13540,618,1187.42,1
CAMP0002,BAIDU_SEM,2025-03-04,14397,212,965.21,1
CAMP0002,BAIDU_SEM,2025-03-05,18392,739,4982.42,1
CAMP0002,BAIDU_SEM,2025-03-06,12677,315,2069.06,1
CAMP0002,BAIDU_SEM,2025-03-07,17446,653,1974.39,1
CAMP0002,BAIDU_SEM,2025-03-08,8290,147,1027.95,1
CAMP0002,BAIDU_SEM,2025-03-09,14162,374,2968.42,1
CAMP0002,BAIDU_SEM,2025-03-10,12051,340,2601.96,1
CAMP0002,BAIDU_SEM,2025-03-11,24269,930,2596.19,1
CAMP0002,BAIDU_SEM,2025-03-12,14436,118,854.57,1
CAMP0002,BAIDU_SEM,2025-03-13,5425,92,492.08,1
CAMP0002,BAIDU_SEM,2025-03-14,8746,272,861.74,1
CAMP0002,BAIDU_SEM,2025-03-15,19498,598,3675.41,1
CAMP0002,BAIDU_SEM,2025-03-16,10360,501,3766.41,1
CAMP0002,BAIDU_SEM,2025-03-17,20888,364,1603.48,1
CAMP0002,BAIDU_SEM,2025-03-18,22053,1048,4044.26,1
CAMP0002,BAIDU_SEM,2025-03-19,29564,1052,5860.86,1
CAMP0002,BAIDU_SEM,2025-03-20,13904,420,1405.18,1
CAMP0002,BAIDU_SEM,2025-03-21,21316,795,3104.17,1
CAMP0002,BAIDU_SEM,2025-03-22,10604,293,1639.66,1
CAMP0002,BAIDU_SEM,2025-03-23,23524,610,3582.14,1
CAMP0002,BAIDU_SEM,2025-03-24,25532,379,747.10,1
CAMP0002,BAIDU_SEM,2025-03-25,12818,179,588.40,1
CAMP0002,BAIDU_SEM,2025-03-26,16066,249,1553.32,1
CAMP0002,BAIDU_SEM,2025-03-27,1959,81,630.93,1
CAMP0002,BAIDU_SEM,2025-03-28,21164,291,1386.03,1
CAMP0002,BAIDU_SEM,2025-03-29,1244,10,17.67,1
CAMP0002,BAIDU_SEM,2025-03-30,2829,29,154.29,1
CAMP0002,BAIDU_SEM,2025-03-31,22243,220,1363.63,1
CAMP0002,BAIDU_SEM,2025-04-01,2804,92,430.42,1
CAMP0002,BAIDU_SEM,2025-04-02,29489,1219,8744.59,1
CAMP0002,BAIDU_SEM,2025-04-03,12614,165,704.66,1
CAMP0002,BAIDU_SEM,2025-04-04,22796,968,1419.23,1
CAMP0002,BAIDU_SEM,2025-04-05,27173,618,4646.72,1
CAMP0002,BAIDU_SEM,2025-04-06,11349,548,4078.15,1
CAMP0002,BAIDU_SEM,2025-04-07,12683,378,1420.15,1
CAMP0002,BAIDU_SEM,2025-04-08,18104,547,3592.75,1
CAMP0002,BAIDU_SEM,2025-04-09,22790,334,716.70,1
CAMP0002,BAIDU_SEM,2025-04-10,20668,921,1917.01,1
CAMP0002,BAIDU_SEM,2025-04-11,28671,822,6365.29,1
CAMP0002,BAIDU_SEM,2025-04-12,24743,796,3666.20,1
CAMP0002,BAIDU_SEM,2025-04-13,27822,1180,4531.97,1
CAMP0002,BAIDU_SEM,2025-04-14,14920,690,4717.44,1
CAMP0002,BAIDU_SEM,2025-04-15,29139,1212,8342.41,1
CAMP0002,BAIDU_SEM,2025-04-16,28829,767,3648.61,1
CAMP0002,BAIDU_SEM,2025-04-17,16386,515,553.82,1
CAMP0002,BAIDU_SEM,2025-04-18,2079,97,333.88,1
CAMP0002,BAIDU_SEM,2025-04-19,8678,282,2180.66,1
CAMP0002,BAIDU_SEM,2025-04-20,8573,340,1188.61,1
CAMP0002,BAIDU_SEM,2025-04-21,22319,327,1447.54,1
CAMP0002,BAIDU_SEM,2025-04-22,4439,166,944.10,1
CAMP0002,BAIDU_SEM,2025-04-23,3389,114,867.76,1
CAMP0002,BAIDU_SEM,2025-04-24,28264,462,1945.43,1
CAMP0002,BAIDU_SEM,2025-04-25,29950,345,2048.83,1
CAMP0002,BAIDU_SEM,2025-04-26,12750,280,1380.07,1
CAMP0003,BAIDU_SEM,2025-01-23,5442,146,1097.61,1
CAMP0003,BAIDU_SEM,2025-01-24,9102,304,1417.67,1
CAMP0003,BAIDU_SEM,2025-01-25,27736,944,2120.43,1
CAMP0003,BAIDU_SEM,2025-01-26,1173,53,291.64,1
CAMP0003,BAIDU_SEM,2025-01-27,28613,705,4892.31,1
CAMP0003,BAIDU_SEM,2025-01-28,2536,95,605.91,1
CAMP0003,BAIDU_SEM,2025-01-29,7591,140,390.78,1
CAMP0003,BAIDU_SEM,2025-01-30,3818,103,667.71,1
CAMP0003,BAIDU_SEM,2025-01-31,18218,311,1192.79,1
CAMP0003,BAIDU_SEM,2025-02-01,4893,158,735.09,1
CAMP0003,BAIDU_SEM,2025-02-02,2855,129,452.68,1
CAMP0003,BAIDU_SEM,2025-02-03,29651,578,2474.61,1
CAMP0003,BAIDU_SEM,2025-02-04,13172,71,90.71,1
CAMP0003,BAIDU_SEM,2025-02-05,27404,526,1055.43,1
CAMP0003,BAIDU_SEM,2025-02-06,19798,793,2849.11,1
CAMP0003,BAIDU_SEM,2025-02-07,4481,96,322.00,1
CAMP0003,BAIDU_SEM,2025-02-08,23552,268,615.68,1
CAMP0003,BAIDU_SEM,2025-02-09,7192,276,1723.26,1
CAMP0003,BAIDU_SEM,2025-02-10,5266,149,630.46,1
CAMP0003,BAIDU_SEM,2025-02-11,11614,527,1219.44,1
CAMP0003,BAIDU_SEM,2025-02-12,21061,385,452.66,1
CAMP0003,BAIDU_SEM,2025-02-13,10278,299,1680.09,1
CAMP0003,BAIDU_SEM,2025-02-14,2820,65,116.04,1
CAMP0003,BAIDU_SEM,2025-02-15,9953,300,1476.49,1
CAMP0003,BAIDU_SEM,2025-02-16,3532,41,104.88,1
CAMP0003,BAIDU_SEM,2025-02-17,19825,139,597.35,1
CAMP0003,BAIDU_SEM,2025-02-18,1614,14,108.43,1
CAMP0003,BAIDU_SEM,2025-02-19,29973,1209,7667.71,1
