customer_id,campaign_id,channel_code,attribute_time,event_type,weight,is_test_data
C00008037,CAMP0011,WECHAT_MP,2025-03-26 06:28:10,APPLY,1.0,1
C00008608,CAMP0015,BAIDU_SEM,2025-03-30 20:11:03,APPLY,1.0,1
C00009413,CAMP0014,KUAISHOU_AD,2025-05-06 16:22:57,APPLY,1.0,1
C00001346,CAMP0012,BAIDU_SEM,2025-04-29 21:22:58,APPLY,1.0,1
C00006202,CAMP0035,KUAISHOU_AD,2025-05-07 13:09:53,APPLY,1.0,1
C00002774,CAMP0015,WECHAT_MP,2025-03-02 20:32:38,APPLY,1.0,1
C00001568,CAMP0034,REFERRAL,2025-02-01 01:16:43,APPLY,1.0,1
C00002984,CAMP0010,BYTEDANCE_AD,2025-02-10 22:12:38,APPLY,1.0,1
C00006269,CAMP0009,BAIDU_SEM,2025-01-23 20:52:36,APPLY,1.0,1
C00003118,CAMP0030,BAIDU_SEM,2025-02-01 19:34:40,APPLY,1.0,1
C00003976,CAMP0039,BAIDU_SEM,2025-02-15 22:02:33,APPLY,1.0,1
C00008409,CAMP0003,H5_PROMO,2025-02-16 16:18:35,APPLY,1.0,1
C00006382,CAMP0024,REFERRAL,2025-03-31 22:24:24,APPLY,1.0,1
C00003108,CAMP0002,BYTEDANCE_AD,2025-03-08 20:15:15,APPLY,1.0,1
C00005471,CAMP0016,BAIDU_SEM,2025-02-24 09:56:07,APPLY,1.0,1
C00006375,CAMP0011,REFERRAL,2025-03-21 11:24:20,APPLY,1.0,1
C00000982,CAMP0022,PARTNER_MALL,2025-02-19 13:08:30,APPLY,1.0,1
C00000925,CAMP0017,H5_PROMO,2025-02-22 16:53:36,APPLY,1.0,1
C00008190,CAMP0018,REFERRAL,2025-03-31 10:15:24,APPLY,1.0,1
C00008099,CAMP0025,PARTNER_BANK1,2025-02-26 13:55:51,APPLY,1.0,1
C00002485,CAMP0005,REFERRAL,2025-04-22 12:30:31,APPLY,1.0,1
C00007599,CAMP0005,WECHAT_MP,2025-02-23 13:54:02,APPLY,1.0,1
C00002994,CAMP0023,BYTEDANCE_AD,2025-01-28 12:29:07,APPLY,1.0,1
C00005290,CAMP0016,PARTNER_MALL,2025-02-15 17:50:33,APPLY,1.0,1
C00006108,CAMP0023,APP_ORG,2025-02-23 17:10:55,APPLY,1.0,1
C00000187,CAMP0014,BAIDU_SEM,2025-05-18 12:45:52,APPLY,1.0,1
C00000675,CAMP0005,BYTEDANCE_AD,2025-03-01 21:34:54,APPLY,1.0,1
C00008484,CAMP0033,TENCENT_AD,2025-03-28 23:58:50,APPLY,1.0,1
C00004105,CAMP0028,WECHAT_MP,2025-02-02 08:25:32,APPLY,1.0,1
C00002173,CAMP0012,REFERRAL,2025-05-02 12:36:22,APPLY,1.0,1
C00001231,CAMP0005,TENCENT_AD,2025-01-26 20:37:52,APPLY,1.0,1
C00008234,CAMP0036,BYTEDANCE_AD,2025-03-18 12:49:11,APPLY,1.0,1
C00001344,CAMP0014,TENCENT_AD,2025-02-01 22:52:20,APPLY,1.0,1
C00002438,CAMP0040,BAIDU_SEM,2025-03-10 22:59:49,APPLY,1.0,1
C00002677,CAMP0038,H5_PROMO,2025-04-23 21:53:14,APPLY,1.0,1
C00004454,CAMP0016,APP_ORG,2025-02-26 20:15:59,APPLY,1.0,1
C00008332,CAMP0032,TENCENT_AD,2025-03-17 18:33:44,APPLY,1.0,1
C00004493,CAMP0011,BYTEDANCE_AD,2025-03-09 12:37:24,APPLY,1.0,1
C00001139,CAMP0022,BAIDU_SEM,2025-02-11 08:41:14,APPLY,1.0,1
C00006147,CAMP0035,KUAISHOU_AD,2025-04-30 12:15:50,APPLY,1.0,1
C00004268,CAMP0001,WECHAT_MP,2025-02-14 22:35:56,APPLY,1.0,1
C00004496,CAMP0031,APP_ORG,2025-01-15 15:09:51,APPLY,1.0,1
C00001926,CAMP0026,WECHAT_MP,2025-03-02 20:00:50,APPLY,1.0,1
C00008042,CAMP0015,BAIDU_SEM,2025-03-18 02:53:59,APPLY,1.0,1
C00009016,CAMP0038,KUAISHOU_AD,2025-05-06 20:38:46,APPLY,1.0,1
C00003603,CAMP0025,BAIDU_SEM,2025-02-17 22:06:04,APPLY,1.0,1
