customer_id,promo_code,used_at,loan_id,is_test_data
C00009413,PROMO008,2025-06-03 18:38:17,LN20250603000001,1
C00007379,PROMO009,2025-03-04 22:30:40,LN20250304000001,1
C00004906,PROMO010,2025-02-14 22:41:42,LN20250214000001,1
C00001414,PROMO012,2025-05-31 18:13:12,LN20250531000001,1
C00002523,PROMO008,2025-04-13 13:07:15,LN20250413000001,1
C00003075,PROMO010,2025-05-13 23:29:35,LN20250513000001,1
C00001135,PROMO012,2025-06-04 10:11:56,LN20250604000002,1
C00001135,PROMO006,2025-05-16 12:15:37,LN20250516000001,1
C00005471,PROMO001,2025-02-09 21:43:10,LN20250209000002,1
C00006108,PROMO009,2025-02-23 18:13:01,LN20250223000001,1
C00002906,PROMO010,2025-01-25 20:41:45,LN20250125000001,1
C00002906,PROMO001,2025-01-15 13:05:38,LN20250115000001,1
C00000187,PROMO010,2025-05-16 20:23:37,LN20250516000002,1
C00009060,PROMO006,2025-04-13 02:03:58,LN20250413000002,1
C00009060,PROMO009,2025-02-17 22:29:03,LN20250217000002,1
C00001580,PROMO007,2025-03-10 18:26:48,LN20250310000001,1
C00000675,PROMO007,2025-03-23 17:17:45,LN20250323000001,1
C00004105,PROMO013,2025-02-09 10:28:37,LN20250209000003,1
C00006028,PROMO008,2025-06-19 01:55:48,LN20250619000001,1
C00000962,PROMO005,2025-03-13 17:20:28,LN20250313000001,1
C00002438,PROMO002,2025-02-23 10:21:14,LN20250223000002,1
C00002823,PROMO009,2025-03-22 09:45:56,LN20250322000001,1
C00008332,PROMO011,2025-04-06 21:58:30,LN20250406000001,1
C00006144,PROMO012,2025-01-18 12:48:05,LN20250118000001,1
C00003009,PROMO006,2025-06-30 07:22:21,LN20250630000001,1
C00003009,PROMO015,2025-06-15 22:47:47,LN20250615000001,1
C00007186,PROMO015,2025-06-04 16:18:01,LN20250604000003,1
C00008103,PROMO008,2025-02-15 21:34:48,LN20250215000002,1
C00009704,PROMO006,2025-02-25 10:53:06,LN20250225000001,1
C00009470,PROMO001,2025-06-26 12:06:52,LN20250626000001,1
C00003603,PROMO002,2025-02-28 14:13:32,LN20250228000001,1
C00004450,PROMO012,2025-02-13 20:30:57,LN20250213000002,1
C00009034,PROMO006,2025-04-04 20:00:26,LN20250404000001,1
C00003868,PROMO012,2025-06-29 13:46:24,LN20250629000002,1
C00003868,PROMO005,2025-06-17 09:17:21,LN20250617000001,1
C00000289,PROMO012,2025-04-05 20:17:52,LN20250405000001,1
C00009690,PROMO009,2025-03-20 20:17:15,LN20250320000001,1
C00003806,PROMO012,2025-04-28 08:27:08,LN20250428000001,1
C00003289,PROMO007,2025-02-04 20:24:57,LN20250204000002,1
C00009233,PROMO006,2025-06-21 20:51:41,LN20250621000003,1
C00002838,PROMO002,2025-02-23 13:39:26,LN20250223000004,1
C00003256,PROMO007,2025-02-07 17:58:13,LN20250207000002,1
C00009402,PROMO001,2025-03-25 15:10:50,LN20250325000001,1
C00009402,PROMO009,2025-02-24 14:17:36,LN20250224000003,1
C00005983,PROMO014,2025-02-15 12:34:31,LN20250215000004,1
C00008444,PROMO004,2025-04-12 12:22:40,LN20250412000002,1
C00007990,PROMO002,2025-03-29 13:33:31,LN20250329000002,1
C00007990,PROMO009,2025-03-13 21:35:57,LN20250313000002,1
C00005417,PROMO005,2025-03-01 16:51:11,LN20250301000002,1
C00001928,PROMO005,2025-03-02 21:35:38,LN20250302000002,1
C00000920,PROMO007,2025-03-03 20:22:44,LN20250303000001,1
