ticket_id,action,remark,acted_at,actor,is_test_data
TK000001,创建,工单创建,2025-04-23 13:39:43,E00503,1
TK000002,创建,工单创建,2025-03-24 11:00:08,E00439,1
TK000002,关闭,问题已解决,2025-03-24 22:00:08,E00439,1
TK000003,创建,工单创建,2025-04-02 22:06:50,E00176,1
TK000003,关闭,问题已解决,2025-04-03 06:06:50,E00176,1
TK000004,创建,工单创建,2025-06-18 20:58:48,E00262,1
TK000004,关闭,问题已解决,2025-06-20 21:58:48,E00262,1
TK000005,创建,工单创建,2025-04-22 22:27:45,E00223,1
TK000005,关闭,问题已解决,2025-04-23 08:27:45,E00223,1
TK000006,创建,工单创建,2025-06-24 02:39:51,E00604,1
TK000006,关闭,问题已解决,2025-06-25 03:39:51,E00604,1
TK000007,创建,工单创建,2025-06-27 22:24:46,E00328,1
TK000007,关闭,问题已解决,2025-06-28 12:24:46,E00328,1
TK000008,创建,工单创建,2025-04-15 18:18:27,E00017,1
TK000008,关闭,问题已解决,2025-04-15 22:18:27,E00017,1
TK000009,创建,工单创建,2025-04-28 21:33:25,E00569,1
TK000009,关闭,问题已解决,2025-04-29 04:33:25,E00569,1
TK000010,创建,工单创建,2025-05-26 21:18:50,E00424,1
TK000010,关闭,问题已解决,2025-05-27 03:18:50,E00424,1
TK000011,创建,工单创建,2025-06-11 15:08:48,E00508,1
TK000011,关闭,问题已解决,2025-06-14 06:08:48,E00508,1
TK000012,创建,工单创建,2025-02-27 20:33:41,E00562,1
TK000012,关闭,问题已解决,2025-03-02 05:33:41,E00562,1
TK000013,创建,工单创建,2025-05-29 12:56:06,E00184,1
TK000013,关闭,问题已解决,2025-05-30 09:56:06,E00184,1
TK000014,创建,工单创建,2025-06-08 13:59:16,E00062,1
TK000014,关闭,问题已解决,2025-06-09 03:59:16,E00062,1
TK000015,创建,工单创建,2025-05-07 13:34:52,E00577,1
TK000016,创建,工单创建,2025-01-09 21:07:45,E00158,1
TK000016,关闭,问题已解决,2025-01-10 07:07:45,E00158,1
TK000017,创建,工单创建,2025-06-04 18:02:50,E00286,1
TK000017,关闭,问题已解决,2025-06-07 11:02:50,E00286,1
TK000018,创建,工单创建,2025-06-23 20:41:08,E00262,1
TK000018,关闭,问题已解决,2025-06-24 15:41:08,E00262,1
TK000019,创建,工单创建,2025-06-18 19:35:53,E00161,1
TK000019,关闭,问题已解决,2025-06-20 19:35:53,E00161,1
TK000020,创建,工单创建,2025-04-10 13:22:08,E00385,1
TK000021,创建,工单创建,2025-04-28 17:55:19,E00039,1
TK000021,关闭,问题已解决,2025-05-01 00:55:19,E00039,1
TK000022,创建,工单创建,2025-05-24 22:18:43,E00533,1
TK000022,关闭,问题已解决,2025-05-26 09:18:43,E00533,1
TK000023,创建,工单创建,2025-05-02 12:42:03,E00491,1
TK000023,关闭,问题已解决,2025-05-05 10:42:03,E00491,1
TK000024,创建,工单创建,2025-05-10 21:54:12,E00330,1
TK000024,关闭,问题已解决,2025-05-13 05:54:12,E00330,1
TK000025,创建,工单创建,2025-03-12 00:22:03,E00031,1
TK000025,关闭,问题已解决,2025-03-12 21:22:03,E00031,1
TK000026,创建,工单创建,2025-04-15 16:31:04,E00274,1
TK000026,关闭,问题已解决,2025-04-18 06:31:04,E00274,1
TK000027,创建,工单创建,2025-06-25 02:38:20,E00315,1
TK000028,创建,工单创建,2025-05-13 12:56:47,E00650,1
TK000028,关闭,问题已解决,2025-05-16 05:56:47,E00650,1
TK000029,创建,工单创建,2025-05-19 13:42:14,E00078,1
TK000029,关闭,问题已解决,2025-05-19 23:42:14,E00078,1
TK000030,创建,工单创建,2025-05-25 21:17:28,E00009,1
TK000030,关闭,问题已解决,2025-05-28 21:17:28,E00009,1
TK000031,创建,工单创建,2025-03-21 16:25:11,E00145,1
TK000031,关闭,问题已解决,2025-03-22 23:25:11,E00145,1
TK000032,创建,工单创建,2025-06-03 20:24:50,E00388,1
TK000032,关闭,问题已解决,2025-06-03 23:24:50,E00388,1
TK000033,创建,工单创建,2025-04-16 21:38:20,E00146,1
TK000034,创建,工单创建,2025-05-18 20:41:40,E00197,1
TK000034,关闭,问题已解决,2025-05-21 05:41:40,E00197,1
TK000035,创建,工单创建,2025-06-16 22:34:26,E00251,1
TK000035,关闭,问题已解决,2025-06-17 18:34:26,E00251,1
TK000036,创建,工单创建,2025-02-07 13:03:23,E00581,1
TK000036,关闭,问题已解决,2025-02-08 00:03:23,E00581,1
TK000037,创建,工单创建,2025-04-28 08:12:13,E00593,1
TK000037,关闭,问题已解决,2025-04-29 17:12:13,E00593,1
TK000038,创建,工单创建,2025-05-08 15:19:14,E00264,1
TK000038,关闭,问题已解决,2025-05-10 10:19:14,E00264,1
TK000039,创建,工单创建,2025-05-22 14:50:34,E00111,1
TK000039,关闭,问题已解决,2025-05-24 06:50:34,E00111,1
TK000040,创建,工单创建,2025-03-20 13:07:08,E00462,1
TK000041,创建,工单创建,2025-06-11 12:18:01,E00140,1
TK000041,关闭,问题已解决,2025-06-12 03:18:01,E00140,1
TK000042,创建,工单创建,2025-05-07 18:38:03,E00467,1
TK000042,关闭,问题已解决,2025-05-10 08:38:03,E00467,1
TK000043,创建,工单创建,2025-06-14 15:39:50,E00327,1
TK000043,关闭,问题已解决,2025-06-15 08:39:50,E00327,1
TK000044,创建,工单创建,2025-05-17 14:56:45,E00361,1
TK000044,关闭,问题已解决,2025-05-19 18:56:45,E00361,1
TK000045,创建,工单创建,2025-03-16 12:59:33,E00125,1
TK000046,创建,工单创建,2025-06-23 17:03:55,E00448,1
TK000046,关闭,问题已解决,2025-06-24 18:03:55,E00448,1
TK000047,创建,工单创建,2025-06-25 06:18:03,E00387,1
TK000047,关闭,问题已解决,2025-06-26 00:18:03,E00387,1
TK000048,创建,工单创建,2025-03-26 06:40:29,E00354,1
